SPANISH	Selected_Proto4	score	PORTUGUESE	ITALIAN	FRENCH	Selected_Proto5	ROMANIAN	LATIN-CORRECT	Selected_Proto1	Selected_Proto2	Selected_Proto3	final_proposed_protoform
-elo	-ɛloo	-4.880252992112448	-ɛlʊ	-ɛllo	-o	-ollo	-jel	-ɛllʊm	-ɛllo	-ɛlʊo	-jllo	-ɛll
-ɛnse	-ɛzseɨ	-4.734897865179316	-eɪŋsɨ	-ɛnse	-ɛ	-ɛnssɨ	-ez	-ensɛm	-ɛnseɨ	-ɛnŋeɨ	-ɛɪseɨ	-ɛnsɨ
-		-1.9635885922613585	-eɪŋtʊ	-	-		-	-ɛntʊm	-eɪŋtʊ			-eɪŋtʊ
-		-1.8094379124341002	-	-	-ɛsk		-	-eskɛrɛ	-ɛsk			-ɛsk
-ito	-itoo	-2.70639784144151	-	-etto	-e		-	-ɛttʊm	-etto	-etoo	-itto	-eptʊm
-	-ɛto	-3.844239969771763	-edʊ	-eto	-ɛ	-edo	-et	-etʊm	-eto	-etʊ	-edʊ	-et
-eo		-1.6925823589626383	-	-ɛo	-		-	-ɛʊm	-ɛo	-eo		-ɛʊm
-		-1.8094379124341002	-	-fitʃo	-		-	-fɪkɪʊm	-fitʃo			-fitʃo
-foɾme	-foɾəeɨ	-3.017901312631067	-fɔɾəmɨ	-forme	-	-fɔɾmeɨ	-	-formɛm	-foɾmeɨ	-formeɨ	-foɾmmɨ	-fʊmɾmɨ
-iβle	-iblle	-3.942804082703521	-ivɛl	-evole	-ibl	-ivlle	-ibil	-ɪbɪlɛm	-ibile	-ibɛle	-ibole	-ivɛla
-iko		-2.522484129789443	-ikʊ	-iko	-ik		-ik	-ɪkʊm	-iko	-ikʊ		-ik
-		-1.8594379124341003	-	-ifitʃo	-		-	-ɪfɪkɪʊm	-ifitʃo			-ifitʃo
-	-ifieare	-2.0389527371649203	-	-ifikare	-ifje		-	-ɪfɪkarɛ	-ifjkare	-ifjeare	-ifikare	-ifliara
-il		-1.9471199848858811	-	-ile	-il		-il	-ɪlɛm	-ile			-il
-iʎo		-1.4094379124341003	-	-	-		-	-ɪllʊm	-iʎo			-iʎʊm
-ino	-iɲo	-2.9279492378976073	-iɲʊ	-ino	-in		-in	-inʊm	-ino	-inʊ	-iɲʊ	-in
-io		-1.3594379124341003	-	-	-		-	-jonɛm	-io			-iʊm
-sko	-eʃkʊ	-4.145887588058008	-iʃkʊ	-	-wa	-ekkʊ	-esk	-ɪskʊm	-eskʊ	-wskʊ	-eakʊ	-wska
-isimo	-isimmo	-2.6650371324758204	-isimʊ	-issimo	-im	-isiioo	-	-ɪssɪmʊm	-isimʊo	-isimoo	-isiimo	-isimʊm
-ista	-iʃta	-1.8934070875143008	-iʃtɐ	-ista	-ist		-	-ɪstam	-ista	-istɐ	-iʃtɐ	-ista
-eðad	-itate	-2.994146352763896	-idadɨ	-ita	-	-itatɨ	-itate	-ɪtatɛm	-itade	-itadɨ	-iðade	-itada
-		-1.3971199848858813	-	-	-it		-	-iten	-it			-pta
-iθja	-itsae	-3.1301275722991493	-	-itsia	-es	-itsie	-itsje	-ɪtɪam	-itsja	-itsje	-itsia	-itsja
-iβo	-iwo	-3.6350619642920177	-ivʊ	-ivo	-if	-ifo	-iw	-iwʊm	-ivo	-ivʊ	-iβo	-ivʊm
-mɛnto	-mɛntoʊ	-3.9983352830514796	-meɪŋtʊ	-mento	-mɑ̃	-menttʊ	-mɨnt	-mɛntʊm	-mentoʊ	-mɨntoʊ	-mɑntoʊ	-mantʊ
-welo	-œloo	-4.889243275820852	-ɔlɐ	-olo	-œl	-œllo	-or	-ɔlʊm	-olɐo	-ollo	-oloo	-olɐ
-		-4.7594379124341	-	-	-œʁ		-	-orɛm	-œʁ			-œʁ
-oso	-osʊ	-4.926046145607583	-ozʊ	-ozo	-ø	-øso	-os	-osʊm	-oso	-ozo	-ozʊ	-øsʊm
-dad	-dade	-3.7749765489449443	-dadɨ	-ita	-te	-dadɨ	-tate	-tatɛm	-tade	-tate	-tadɨ	-tad
-θjon	-tsɔone	-4.791331430597767	-sɐ̃ʊ̃	-tsione	-sjɔ̃	-tsɔune	-tsjune	-tɪonɛm	-tsjone	-tsjune	-tsjnne	-tsjuna
-doɾ	-toɹe	-4.60078659315436	-doɹ	-tore	-tœʁ	-dore	-tor	-torɛm	-tore	-toʁe	-toɾe	-tor
-toɾjo	-toɾoo	-4.988675634667699	-tɔɾjʊ	-tojo	-waʁ	-toɾoʊ	-tor	-torɪʊm	-toɾjo	-torjo	-toɾjʊ	-tʊmjʊm
-tɾiθ	-trisʃe	-3.3376696182833676	-tɹiʃ	-tritʃe	-tʁis	-tʁiʃʃe	-	-trikɛm	-tʁisʃe	-tʁiθʃe	-tʁitʃe	-triʃa
-	-itudʲnne	-1.916231493035235	-	-itudine	-	-itudʲnee	-itudʲine	-tudɪnɛm	-itudʲine	-itudiine	-itudʲiee	-itudinea
-duɾa	-tuʁə	-2.9345346764344495	-	-tura	-tyʁ	-tuɾa	-tuɾə	-turam	-tuɾə	-tura	-tuʁa	-tuɾa
-welo	-oeoo	-1.7425823589626384	-	-olo	-	-wloo	-	-ʊlʊm	-oelo	-ollo	-oloo	-olʊm
-o		-3.5066624897703194	-	-ɔː	-ø		-	-ʊm	-ɔː	-øː	-oː	-ʊm
-		-2.063364379840764	-	-vɔro	-vɔʁ		-	-wɔrʊm	-vɔro	-vɔʁo		-vɔʁa
-		-1.8094379124341002	-	abbatʃinare	-		-	abakɪnarɛ	abbatʃinare			abbatʃinare
-		-1.8094379124341002	ɐbɐtoɹ	-	-		-	abaktorɛm	ɐbɐtoɹ			ɐbɐtoɹ
-	ɐbakylʊ	-2.2953628821785355	ɐbakulʊ	-	abakyl		-	abakʊlʊm	abakylʊ	ɐbakulʊ	abakulʊ	abakyla
-	abalienassɔone	-3.1455470419577427	ɐbɐliɨnɐsɐ̃ʊ̃	abalienatsione	abaljenasjɔ̃	abalienassione	-	abalɪenatɪonɛm	abalienasjɔone	abalienasjʊone	abalienasjione	abalenasjɔna
-	abalieneɹe	-2.664841761681588	ɐbɐliɨnaɹ	abalienare	abaljene	abalienere	-	abalɪenarɛ	abalienaɹe	abalienare	abaliɨnare	abaleɨnara
-		-1.597119984885881	-	abalieta	-		-	abalɪɛtatɛm	abalieta			abalieta
aβaðia	abatisea	-4.4782032686020266	ɐbɐdiɐ	abbatsia	abaj	abatiaea	abatsje	abbatɪam	abatijea	abatijia	abatisia	abatjia
aβaθjal	abasjjll	-3.4974582683471267	ɐbɐsiɑl	-	abasjal	abassall	abatsjal	abbatɪalɛm	abasjall	abasjɑll	abasiall	abasjal
aβɾeβjaθjon	abʁevjasjsnone	-4.70925750179745	ɐbɹɨviɐsɐ̃ʊ̃	abbrevjatsione	abʁevjasjɔ̃	abʁevjasjoione	-	abbrɛwɪatɪonɛm	abʁevjasjɔione	abʁevjasjsione	abʁevjasjɔnone	abʁevjasjiʊmne
aβɾeβjaɾ	abʁevjaare	-3.823953872574367	ɐbɹɨviaɹ	abbrevjare	abʁevje	abbevjaare	-	abbrɛwɪarɛ	abʁevjaɾre	abʁevjaɹre	abbevjaɾre	abʁevjaɹa
-		-1.8607523407150064	ɐbsizɐ̃ʊ̃	-	-		-	abkɪsɪonɛm	ɐbsizɐʊ			ɐbsizɐʊ
abðomen	abdomeɪŋ	-3.4062740215300904	ɐbdɔmeɪŋ	addɔme	abdomɛn	abdɔmeɪŋ	abdomen	abdomɛn	abdomenŋ	abdɔmenŋ	abdomɛnŋ	abdɔmen
abðuθiɾ	abduθie	-2.6312602409454566	ɐbduziɹ	-	-	abduθiɾ	abdutʃe	abdukɛrɛ	abdutie	abdutiɾ	abdutiɹ	abduθia
abðukθjon	abduksione	-3.5242475979517276	ɐbdusɐ̃ʊ̃	abdutsione	abdyksjɔ̃	abduksʊone	-	abdʊktɪonɛm	abduksjone	abduksjɔne	abdukθjone	abduksjuna
-		-2.0094379124341	ɐbɨsɨdaɾjʊ	-	-		-	abɛkɛdarɪʊm	ɐbɨsɨdaɾjʊ			ɐbɨsɨdaɾjʊ
aβeʎana	avunana	-4.9939626259099485	ɐvɨlɐ̃	-	avlin	avunnna	alunə	abɛllanam	avunəna	avunɐna	avuiəna	avuana
aβeraɾ	aberaɾre	-4.150528678754882	ɐbɨʁaɹ	aberrare	abɛʁe	aberaare	-	abɛrrarɛ	abeʁaɾre	abeʁaɹre	abeʁaare	abeʁaɾa
aβuriɾ	aboʁiire	-5.136918276832667	ɐvuʁiɹ	aborrire	aboʁe	aboriire	boɾɨ	abhɔrrerɛ	aboʁiɾre	aboriɾre	aboʁiɹre	abaʊʁiɾa
aβjektaɾ	abjettɹre	-2.7255648130189973	ɐbʒɨtaɹ	abjettare	-	abjetaare	-	abɪkɛrɛ	abjettaɾe	abjettare	abjettɹɾe	abjectaɾa
aβjekθjon	aβjesθjon	-3.152421261704787	ɐbʒɨsɐ̃ʊ̃	-	-	aβjekθjon	-	abɪɛktɪonɛm	aβjekɐʊon	aβjekθʊon	aβjekɐjon	aβjɨkɐjʊmn
aβeto	abeto	-3.533545912577997	ɐbɛtʊ	abete	abi	abetʊ	-	abɪetɛm	abete	abite	abito	abetʊm
aβixeato	abidʒatoo	-2.0448741580729752	ɐbiʒiatʊ	abidʒeato	-	abidʒatto	-	abɪɡɛatʊm	abideatoo	abidʒatʊo	abideatto	abideatʊm
aβixeo	aβixio	-2.2257075104148996	ɐbiʒiʊ	-	-	aβiʒeo	-	abɪɡɛʊm	aβixeo	aβixiʊ	aβixeʊ	aβiʒeʊm
-		-1.9594379124341001	ɐbʒudikaɹ	-	-		-	abɪudɪkarɛ	ɐbʒudikaɹ			ɐbʒudikaɹ
-		-2.0272209480904837	ɐbʒũŋʒiɹ	-	-		-	abɪʊŋɡɛrɛ	ɐbʒuŋʒiɹ			ɐbʒuŋʒiɹ
aβxuɾaθjon	abʒuɾasɐɔn	-3.2695465203303518	ɐbʒuɾɐsɐ̃ʊ̃	-	abʒyʁasjɔ̃	abʒuɾasɐon	-	abɪuratɪonɛm	abʒuɾasjɔn	abʒuɾasjʊn	abʒuɾasjon	abʒuɾasliʊm
-		-1.9594379124341001	ɐbʒuɾəɡaɹ	-	-		-	abɪurɡarɛ	ɐbʒuɾəɡaɹ			ɐbʒuɾəɡaɹ
aβxuɾaɾ	abʒuʁaɾe	-3.5856229207690196	ɐbʒuɾaɹ	abjurare	abʒyʁe	abʒuʁare	-	abɪurarɛ	abʒuɾaɹe	abʒuɾaɾe	abʒuɾare	abʒuɾaa
-	ablaktaɐʊɔ	-2.8454843704002193	ɐblɐtɐsɐ̃ʊ̃	-	ablaktasjɔ̃	ablaktaɐjɔ	-	ablaktatɪonɛm	ablaktasjɔ	ablaktasʊɔ	ablaktssjɔ	ablatasʊɔ
aβlaktaɾ	aβlaktɹɾ	-2.959260036932778	ɐblɐtaɹ	-	-	aβlakaaɾ	-	ablaktarɛ	aβlaktaɾ	aβlattaɾ	aβlakaɹɾ	aβlaktaɾ
aβlakeaθjon	ablakeeatoione	-3.532630339693563	ɐblɐkeɐsɐ̃ʊ̃	ablakweatsione	-	ablakeeatonone	-	ablakwɛatɪonɛm	ablakeeatsione	ablakeeatsnone	ablakeeatʊione	ablakeatsione
-		-1.7068932485848132	ɐblɐtoɹ	-	-		-	ablatorɛm	ɐblɐtoɹ			ɐblɐtoɹ
-	ableɡatɐione	-2.2589012449907195	ɐblɨɡɐsɐ̃ʊ̃	ableɡatsione	-	ableɡassione	-	ableɡatɪonɛm	ableɡatɐʊone	ableɡatsione	ableɡatsʊone	ableɡatsiona
-		-1.7068932485848132	ɐblɨɡaɹ	-	-		-	ableɡarɛ	ɐblɨɡaɹ			ɐblɨɡaɹ
-		-1.7373994539038122	ɐblɨpsiɐ	-	-		-	ablɛpsɪam	ɐblɨpsiɐ			ɐblɨpsiɐ
-	ɐblyeɹ	-2.3453628821785353	ɐbluiɹ	-	ablye	abluiɹ	-	ablʊɛrɛ	ablyeɹ	ablyiɹ	ablueɹ	ablyeɹ
-		-1.683490561104079	ɐblutʊ	-	-		-	ablutorɛm	ɐblutʊ			ɐblutʊ
abneɣaɾ	abneɡeɾe	-2.859583197878571	ɐbnɨɡaɹ	abneɡare	abneɡe	abneɡere	-	abnɛɡarɛ	abneɡaɾe	abneɡaɹe	abneɡare	abneɡaa
-		-1.6824021804087566	-	abnɔrme	-		abnorm	abnormɛm	abnɔrme	abnorme		abnorma
abnwiɾ	abnuiɹ	-2.1472245773362193	ɐbnuiɹ	-	-	ɐbnwiɾ	-	abnʊɛrɛ	abnwiɾ	abnwiɹ	abnuiɾ	abnwiɹ
aβoliθjon	abolisjɔnne	-4.058748197553665	ɐbulisɐ̃ʊ̃	abolitsione	abolisjɔ̃	abolisjinne	-	abɔlɪtɪonɛm	abolisjɔone	abolisjione	abolisjoone	abolesjɔʊmne
aβomaso	abomazʊ	-2.14961830505244	ɐbumazʊ	abɔmazo	-	abɔmazʊ	-	abɔmasʊm	abɔmazo	abomazo	abumazo	abumazʊm
aβominaθjon	abominasjɔnne	-3.283659760996828	ɐbuminɐsɐ̃ʊ̃	abominatsione	abominasjɔ̃	abominasjinne	-	abomɪnatɪonɛm	abominasjɔone	abominasjione	abominasjoone	abominasjɔna
-		-1.4648818866489093	-	-	abomine		-	abomɪnarɛ	abomine			abumina
aβominaɾ	abomineɾe	-2.588253803634058	ɐbuminaɹ	abominare	abomine	abominere	-	abomɪnari	abominaɾe	abominaɹe	abominare	abaʊminaa
-		-1.1373994539038121	-	abradere	-		-	abradɛrɛ	abradere			abradera
-		-2.567077277212345	ɐbɹɨnũŋsiɐsɐ̃ʊ̃	-	-		-	abrɛnʊntɪatɪonɛm	ɐbɹɨnuŋsiɐsɐʊ			ɐbɹɨnuŋsiɐsɐʊ
aβɾoɣaθjon	aβɾoɣaθɐon	-3.1205691305999848	abʁuɡɐsɐ̃ʊ̃	-	-	aβɾoɣasjon	-	abrɔɡatɪonɛm	aβɾoɣaθɐʊn	aβɾoɣaθjon	aβɾoɣaθjʊn	aβɾuɣasliʊmn
aβɾoɣaɾ	abʁoɡare	-4.015091324665782	abʁuɡaɹ	abroɡare	abʁoʒe	abroɡare	abroɡa	abrɔɡarɛ	abʁoɡaɾe	abroɡaɾe	abroɡaɹe	abraʊɡaa
aβɾotano	abɔotano	-4.060567670691737	ɐbɹɔtɐnʊ	abrotano	oʁɔn	abɔotanʊ	-	abrɔtɔnʊm	abrotano	abɹotano	abɾotano	abɔmtanʊm
-		-1.8282515005814983	-	-	abʁɔ̃pʁ		-	abrʊmpɛrɛ	abʁɔpʁ			abʁɔpʁ
-		-1.88258146374831	ɐbɹupsɐ̃ʊ̃	-	-		-	abrʊptɪonɛm	ɐbɹupsɐʊ			ɐbɹupsɐʊ
aβsθisa	absθssa	-1.6290545955838511	-	-	absis	aβsissa	-	abskɪndɛrɛ	absθisa	absiisa	absissa	absθis
-		-1.5594379124341002	ɐbsisɐ	-	-		-	abskɪssam	ɐbsisɐ			ɐbsisɐ
eskondeɾ	askondere	-4.092816383430906	ʃkuŋdeɹ	askondere	abskɔ̃dʁ	askkndere	askunde	abskɔndɛrɛ	askundeɾe	askondeɾe	askundere	askunder
eskuso	askuzo	-3.826837414325845	-	askozo	abskɔ̃	askuso	askuns	abskɔnsʊm	askuns	askuɔo	askuno	askuɔʊm
aʊsentaɾ		-2.0161128563728328	-	-	-		-	absɛntarɛ	aʊsentaɾ			aʊsentaɾ
aβsoluθjon	absolusjɔnne	-3.6712391648492604	ɐbsulusɐ̃ʊ̃	assolutsione	absolysjɔ̃	absolusjinne	-	absɔlutɪonɛm	absolusjɔone	absolusjione	absolusjoone	absolusjɔna
aβsolβeɾ	absulveie	-4.140321192034813	ɐbsulveɹ	assolvere	absudʁ	absolvere	absolvʲi	absɔlwɛrɛ	absolveie	absolveɾe	absolveɹe	absulvea
aβsoɾθjon	absɔɾpsoɔ	-3.3066624897703196	ɐbsuɾəsɐ̃ʊ̃	-	absɔʁpsjɔ̃	absɔɾpsjɔ	-	absɔrptɪonɛm	absɔɾpson	absɔɾpsjn	absɔɾpsjʊ	absɔɾpsʊm
aβstemjo	asstmmjo	-2.335937202279015	ɐbstɛmjʊ	astemio	-	asstmmjʊ	-	abstemɪʊm	asstemjo	asstemjʊ	asstɛmjo	astɛmjʊm
aβsteɾxeɾ	abstɛɾʒeɾɹ	-2.998589727670805	ɐbstɨɾəʒeɹ	astɛrdʒere	abstɛʁʒe	abstɛɾʒeee	-	abstɛrɡerɛ	abstɛɾʒere	abstɛɾʒerɹ	abstɛɾʒeɾe	abstɛɾʒer
aβsteneɾ	abstnneɾ	-3.7554802186791387	ɐbsteɹ	astenere	abstniʁ	abstnnʁe	abtsine	abstɪnerɛ	abstenee	absteneɾ	abstnnee	abstinea
aβstɾaeɾ	abstraʁʒe	-4.404917495317641	ɐbstɹɐiɹ	astrarre	abstʁɛʁ	abstradʒe	abstradʒe	abstrahɛrɛ	abstradee	abstradɾe	abstradɹe	abstraea
-		-1.9594379124341001	ɐbstɹuiɹ	-	-		-	abstrudɛrɛ	ɐbstɹuiɹ			ɐbstɹuiɹ
-		-2.2101086078962515	ɐbstɹuzɐ̃ʊ̃	-	-		-	abstrusɪonɛm	ɐbstɹuzɐʊ			ɐbstɹuzɐʊ
-	abstuzo	-2.2168907011251435	-	astruzo	abstʁy	absrʁyo	-	abstrusʊm	abstʁyo	abstʁzo	abstuyo	abstuyʊm
aβsuɾðiðad	absurditaddɨ	-3.276814019958004	ɐbsuɾədidadɨ	assurdita	absyʁdite	absurditaaeɨ	absurditate	absʊrdɪtatɛm	absurditadeɨ	absurditateɨ	absurditatdɨ	absurditada
aβundantisimo		-1.7867300547221079	-	-	-		-	abʊndantɪssɪmʊm	aβundantisimo			aβundantisima
-		-2.097119984885881	ɐbuzɐ̃ʊ̃	-	-		-	abusɪonɛm	ɐbuzɐʊ			ɐbuzɐʊ
aβusiβo	abuzifʊ	-3.039910774280654	ɐbuzivʊ	-	abyzif	abuziβo	abuziv	abusiwʊm	abuzivo	abuzivʊ	abuzifo	abuzifa
-	abuzeɹe	-2.7315338147130523	ɐbuzaɹ	abuzare	abyze	abuzere	abuza	abuti	abuzaɹe	abuzare	abyzare	abuzaa
aβismo	abiʒmo	-2.9206466171757706	ɐbiʒmʊ	abisso	abim	abimmo	-	abyssʊm	abisso	abismo	abismʊ	abismʊm
akaðemja	akademmia	-3.0609116703715413	ɐkɐdɨmiɐ	akkadɛmia	akademi	akademmaa	-	akademiam	akademiɐa	akademiia	akademiaa	akadamia
akanto	akaŋto	-3.7960129732481667	ɐkɐ̃ŋtʊ	akanto	akɑ̃t	akatto	akantə	akantʰʊm	akanto	akantə	akantʊ	akantʊ
-		-1.8512073253103953	ɐkɐtɐlɨpsiɐ	-	-		-	akatalepsɪam	ɐkɐtɐlɨpsiɐ			ɐkɐtɐlɨpsiɐ
akalðaɾ		-1.8594379124341003	-	-	-		-	akkapɪtarɛ	akalðaɾ			akalðaɾ
akθeðeɾ	akθeeeere	-4.938508449747588	ɐsɨdeɹ	atʃʃedere	aksede	akʃeeeere	-	akkedɛrɛ	akseeeɾre	akseeeere	akʃeeeɾre	aksɨaeɾra
-		-2.2190810898839275	ɐsɨleɾɐtɔɾjʊ	-	-		-	akkɛlɛratorɪʊm	ɐsɨleɾɐtɔɾjʊ			ɐsɨleɾɐtɔɾjʊ
-	atʃʃɛndɹre	-3.074236340526027	ɐseɪŋdeɹ	atʃʃɛndere	-	atʃʃɛneere	-	akkɛndɛrɛ	atʃʃɛndere	atʃʃɛddere	atʃʃɛneɹre	atʃʃɛnder
aθɛnto	aktʃŋnto	-4.9539429031028055	ɐseɪŋtʊ	atʃʃɛnto	aksɑ̃	aktʃtnto	aktʃent	akkɛntʊm	aksʃento	aktʃɛnto	aktʃento	aksʃɛntʊm
aθepθjon	aksppssɔone	-5.687540404206309	ɐsɨpsɐ̃ʊ̃	atʃʃetsione	aksɛpsjɔ̃	aksppssione	-	akkɛptɪonɛm	aksppsjɔone	aksppsjione	aksppsjnone	aksppsjiʊmna
akθesjon	aksɛsjsnon	-4.183625827187394	ɐsɨsɐ̃ʊ̃	atʃʃession	aksɛsjɔ̃	aksɛsjoion	-	akkɛssɪonɛm	aksɛsjɔion	aksɛsjsion	aksɛsjɔnon	aksɛsjiʊmn
-	aksɛswsʁrio	-3.8429366579037083	ɐsɨsɔɾjʊ	atʃʃessɔrio	aksɛswaʁ	aksɛswaʊrio	-	akkɛssorɪʊm	aksɛswaɔrio	aksɛswsɔrio	aksɛswaʁrio	aksɛswɔriʊm
akθeso	akθeʊo	-2.4807884214912823	ɐsɛsʊ	-	-	akθsso	-	akkɛssʊm	akθeso	akɛeso	akθsʊo	akθɛsʊm
-		-2.0647984280919265	ɐsideɪŋtɨ	-	-		-	akkɪdɛntɛm	ɐsideɪŋtɨ			ɐsideɪŋtɨ
-		-2.1047480922384247	ɐsideɪŋsjɐ	-	-		-	akkɪdɛntɪam	ɐsideɪŋsjɐ			ɐsideɪŋsjɐ
aθepptaɾ	akeɛpttɾre	-4.081161255857814	ɐseɪtaɹ	atʃʃettare	aksɛpte	akeɛpteɾre	-	akkɪpɛrɛ	akeɛpttare	akeɛpteare	akeɛptaare	akeɛpptara
aθoɾ	asoʁre	-5.5256525437605895	ɐsoɹ	astore	otuʁ	asuʁre	-	astʊrɛm	asoɾre	asoɹre	asoore	asoɾa
aklaɾaɾ	ɐklaɾaɾ	-2.2716444530100337	ɐklɐɾaɹ	-	-	aklaɾaɹ	-	akklararɛ	aklaɾaɾ	aklɐɾaɾ	aklɐɾaɹ	ɐklaɾa
-		-1.7782515005814983	-	akkline	-		-	akklinɛm	akkline			akkinea
-		-2.1719568419318747	ɐklividadɨ	-	-		-	akkliwɪtatɛm	ɐklividadɨ			ɐklividadɨ
akomoðaθjon	akɔmodasjsnone	-4.751079958052436	ɐkumudɐsɐ̃ʊ̃	akkomodatsione	akɔmodasjɔ̃	akɔmodasjoione	-	akkɔmmɔdatɪonɛm	akɔmodasjɔione	akɔmodasjsione	akɔmodasjɔnone	akɔmodasjɔona
akonsexaɾ	akonseʎaɾ	-2.5072988036718025	ɐkuŋsɨʎaɹ	-	-	akonsɨxaɾ	-	akkɔŋkɪlɪarɛ	akonsexaɾ	akonseʎaɹ	akonsexaɹ	akʊmnsɨxa
akɾeθeɾ	akkreeɹre	-4.0851309399521645	ɐkɹɨseɹ	akkreʃere	-	akkrθeere	-	akkreskɛrɛ	akkrθeɾre	akkreeere	akkreeɾre	akkreeɹra
akɾeθjon	akresjjeone	-5.181245997856113	ɐkɹɨsɐ̃ʊ̃	akkretsione	akʁesjɔ̃	akresjjnone	akretsje	akkretɪonɛm	akresjɔione	akresjɔeone	akresjjione	akresjiʊmne
-		-1.3568932485848133	ɐkubitʊ	-	-		-	akkʊbɪtʊm	ɐkubitʊ			ɐkubcta
akumulaθjon	akumulasjsnone	-4.238253213866082	ɐkumulɐsɐ̃ʊ̃	akkumulatsione	akymylasjɔ̃	akumulasjoione	-	akkʊmʊlatɪonɛm	akumulasjɔione	akumulasjsione	akumulasjɔnone	akumulasjɔina
akuɾaɾ		-1.8094379124341002	-	-	-		-	akkurarɛ	akuɾaɾ			akuɾaɾ
akoreɾ	akuʁeɾere	-4.067523802933566	ɐkuʁeɹ	akkɔrrere	akuʁiʁ	akuʁeɹere	-	akkʊrrɛrɛ	akuʁiʁere	akuʁerere	akuʁeʁere	akuʁarer
-	akyzabllle	-3.1506975066205043	ɐkuzavɛl	akkuzabile	akyzabl	akyzabblle	-	akkusabɪlɛm	akyzabɛile	akyzablile	akyzabbile	akyzablla
-		-2.0272209480904837	ɐkuzɐ̃ŋtɨ	-	-		-	akkusantɛm	ɐkuzɐŋtɨ			ɐkuzɐŋtɨ
akusaθjon	akuzasjjeone	-4.772866343692715	ɐkuzɐsɐ̃ʊ̃	akkuzatsione	akyzasjɔ̃	akuzasjjnone	akuzatsje	akkusatɪonɛm	akuzasjɔione	akuzasjjione	akuzasjɔeone	akuzasjiʊmne
akusaðoɾ	akuzatorre	-4.543779405343486	ɐkuzɐdoɹ	akkuzatore	akyzatœʁ	akuzatoore	akuzətor	akkusatorɛm	akuzatoʁre	akuzatoɾre	akuzatoɹre	akuzatora
akusatoɾjo	akuzattɾjio	-3.4689444082804597	ɐkuzɐtɔɾjʊ	akkuzatɔrio	akyzatwaʁ	akuzattɾjoo	-	akkusatorɪʊm	akuzatwɾjio	akuzatwɾjʊo	akuzatwɾjoo	akuzatwɾjʊm
-		-1.8594379124341003	-	akkuzatritʃe	-		-	akkusatrikɛm	akkuzatritʃe			akkuzatritʃe
akusaɾ	akuzeare	-3.8650701220953207	ɐkuzaɹ	akkuzare	akyze	akuzeɾre	akuza	akkusarɛ	akuzaɾre	akuzaɹre	akuzaare	akuzaɹa
-	atʃʃjdia	-3.0236938150237025	ɐsɛdjɐ	atʃʃidia	-	atʃdidia	-	akedɪam	atʃʃjɐia	atʃʃidia	atʃʃiɐia	atʃʃɛdia
aθefalo	aθefɐlo	-2.5556225535290213	ɐsɛfɐlʊ	-	-	aθɛfalo	-	akɛpʰalʊm	aθefalo	aθefɐlʊ	aθefalʊ	aθɛfɐlʊm
aθeɾe	artsao	-6.316805680113951	asɨɹ	atʃero	eʁabl	artsrr	artsar	akrɛm	artsar	artslr	artslo	artser
aθeɾβiðad	atʃɾrbiaadɨ	-3.357165341366578	ɐsɨɾəbidadɨ	atʃerbita	-	atʃɾβbiaadɨ	-	akɛrbɪtatɛm	atʃɾrbitadɨ	atʃɾrbidadɨ	atʃɾβbitadɨ	atʃɾβbitada
