true_form	predicted_form	edit_distance	normalized_edit_distance	correct_chars	consonant_errors	vowel_errors	phonotactic_valid	char_error_rate	feature_distance	normalized_feature_distance	exact_match
-ɪtɪam	-itsja	4	0.6666666666666666	2	1	2	False	0.6666666666666666	3.0	0.1	0
-iwʊm	-ivʊm	1	0.2	3	1	0	True	0.2	0.25	0.01	0
-mɛntʊm	-mantʊ	2	0.2857142857142857	4	1	1	True	0.2857142857142857	1.4	0.04	0
-ɔlʊm	-olɐ	3	0.6	1	1	2	True	0.6	1.4	0.055999999999999994	0
-orɛm	-œʁ	4	0.8	0	2	2	True	0.8	2.7	0.10800000000000001	0
-osʊm	-øsʊm	1	0.2	3	0	1	True	0.2	0.4	0.016	0
-tatɛm	-tad	3	0.5	2	2	1	True	0.5	2.25	0.075	0
-tɪonɛm	-tsjuna	5	0.7142857142857143	2	1	3	False	0.7142857142857143	3.6	0.10285714285714286	0
-torɛm	-tor	2	0.3333333333333333	3	1	1	True	0.3333333333333333	2	0.06666666666666667	0
-torɪʊm	-tʊmjʊm	3	0.42857142857142855	3	1	2	True	0.42857142857142855	1.7	0.04857142857142857	0
-trikɛm	-triʃa	3	0.42857142857142855	3	2	1	True	0.42857142857142855	1.9	0.054285714285714284	0
-tudɪnɛm	-itudinea	4	0.4444444444444444	4	1	2	True	0.5	2.2	0.05500000000000001	0
-turam	-tuɾa	2	0.3333333333333333	3	2	0	True	0.3333333333333333	2.0	0.06666666666666667	0
-ʊlʊm	-olʊm	1	0.2	3	0	1	True	0.2	0.19999999999999996	0.007999999999999998	0
-ʊm	-ʊm	0	0.0	2	0	0	True	0.0	0	0.0	1
-wɔrʊm	-vɔʁa	4	0.6666666666666666	1	3	1	True	0.6666666666666666	2.35	0.07833333333333334	0
abakɪnarɛ	abbatʃinare	5	0.45454545454545453	6	1	2	False	0.5555555555555556	2.45	0.05444444444444445	0
abaktorɛm	ɐbɐtoɹ	6	0.6666666666666666	3	3	3	True	0.6666666666666666	3.65	0.0811111111111111	0
abakʊlʊm	abakyla	3	0.375	5	1	2	True	0.375	1.7999999999999998	0.045	0
abalɪenatɪonɛm	abalenasjɔna	6	0.42857142857142855	8	2	4	True	0.42857142857142855	3.65	0.052142857142857144	0
abalɪenarɛ	abaleɨnara	3	0.3	8	0	2	True	0.3	0.6	0.012	0
abalɪɛtatɛm	abalieta	5	0.45454545454545453	6	2	3	True	0.45454545454545453	3.2	0.05818181818181818	0
abbatɪam	abatjia	4	0.5	5	2	1	True	0.5	3.0	0.075	0
abbatɪalɛm	abasjal	5	0.5	5	3	2	True	0.5	4.25	0.085	0
abbrɛwɪatɪonɛm	abʁevjasjiʊmne	12	0.8571428571428571	4	5	5	True	0.8571428571428571	6.6000000000000005	0.09428571428571429	0
abbrɛwɪarɛ	abʁevjaɹa	7	0.7	3	4	3	True	0.7	3.6	0.07200000000000001	0
abkɪsɪonɛm	ɐbsizɐʊ	8	0.8	2	3	5	False	0.8	4.55	0.091	0
abdomɛn	abdɔmen	2	0.2857142857142857	5	0	2	True	0.2857142857142857	0.19999999999999996	0.005714285714285713	0
abdukɛrɛ	abduθia	4	0.5	4	2	2	True	0.5	2.1	0.052500000000000005	0
abdʊktɪonɛm	abduksjuna	6	0.5454545454545454	5	2	4	False	0.5454545454545454	3.25	0.05909090909090909	0
abɛkɛdarɪʊm	ɐbɨsɨdaɾjʊ	7	0.6363636363636364	4	3	4	True	0.6363636363636364	4.5	0.08181818181818182	0
abɛllanam	avuana	5	0.5555555555555556	4	4	1	True	0.5555555555555556	3.85	0.08555555555555555	0
abɛrrarɛ	abeʁaɾa	5	0.625	3	3	2	True	0.625	3.1	0.0775	0
abhɔrrerɛ	abaʊʁiɾa	7	0.7777777777777778	2	4	3	True	0.7777777777777778	4.1000000000000005	0.09111111111111113	0
abɪkɛrɛ	abjectaɾa	7	0.7777777777777778	2	2	3	True	1.0	4.05	0.11571428571428571	0
abɪɛktɪonɛm	aβjɨkɐjʊmn	9	0.8181818181818182	3	3	5	True	0.8181818181818182	5.8500000000000005	0.10636363636363637	0
abɪetɛm	abetʊm	2	0.2857142857142857	5	0	2	True	0.2857142857142857	1.6	0.045714285714285714	0
abɪɡɛatʊm	abideatʊm	3	0.3333333333333333	6	1	2	True	0.3333333333333333	0.95	0.021111111111111112	0
abɪɡɛʊm	aβiʒeʊm	4	0.5714285714285714	3	2	2	True	0.5714285714285714	1.7	0.04857142857142857	0
abɪudɪkarɛ	ɐbʒudikaɹ	5	0.5	5	1	4	True	0.5	2.45	0.049	0
abɪʊŋɡɛrɛ	ɐbʒuŋʒiɹ	7	0.7777777777777778	2	2	5	True	0.7777777777777778	3.8	0.08444444444444445	0
abɪuratɪonɛm	abʒuɾasliʊm	7	0.5833333333333334	5	3	4	True	0.5833333333333334	5.449999999999999	0.09083333333333332	0
abɪurɡarɛ	ɐbʒuɾəɡaɹ	6	0.6666666666666666	4	2	3	True	0.6666666666666666	4.25	0.09444444444444444	0
abɪurarɛ	abʒuɾaa	4	0.5	4	2	2	True	0.5	3.4	0.08499999999999999	0
ablaktatɪonɛm	ablatasʊɔ	7	0.5384615384615384	6	4	3	True	0.5384615384615384	4.65	0.07153846153846155	0
ablaktarɛ	aβlaktaɾ	3	0.3333333333333333	6	2	1	True	0.3333333333333333	2.15	0.04777777777777777	0
ablakwɛatɪonɛm	ablakeatsione	6	0.42857142857142855	9	2	3	False	0.42857142857142855	3.4000000000000004	0.04857142857142858	0
ablatorɛm	ɐblɐtoɹ	5	0.5555555555555556	4	2	3	True	0.5555555555555556	2.65	0.058888888888888886	0
ableɡatɪonɛm	ableɡatsiona	4	0.3333333333333333	9	1	2	False	0.3333333333333333	2.4	0.04	0
ableɡarɛ	ɐblɨɡaɹ	4	0.5	4	1	3	True	0.5	1.65	0.041249999999999995	0
ablɛpsɪam	ɐblɨpsiɐ	5	0.5555555555555556	4	1	4	False	0.5555555555555556	1.7999999999999998	0.039999999999999994	0
ablʊɛrɛ	ablyeɹ	4	0.5714285714285714	3	1	3	True	0.5714285714285714	1.65	0.04714285714285714	0
ablutorɛm	ɐblutʊ	5	0.5555555555555556	4	2	3	True	0.5555555555555556	3.4	0.07555555555555556	0
abnɛɡarɛ	abneɡaa	3	0.375	5	1	2	False	0.375	1.6	0.04	0
abnormɛm	abnorma	2	0.25	6	1	1	False	0.25	1.4	0.034999999999999996	0
abnʊɛrɛ	abnwiɹ	4	0.5714285714285714	3	1	3	False	0.5714285714285714	2.45	0.07	0
abɔlɪtɪonɛm	abolesjɔʊmne	9	0.75	4	2	5	True	0.8181818181818182	4.25	0.07727272727272727	0
abɔmasʊm	abumazʊm	2	0.25	6	1	1	True	0.25	0.44999999999999996	0.01125	0
abomɪnatɪonɛm	abominasjɔna	6	0.46153846153846156	7	2	4	True	0.46153846153846156	2.65	0.040769230769230766	0
abomɪnarɛ	abumina	4	0.4444444444444444	5	1	3	True	0.4444444444444444	2.2	0.04888888888888889	0
abomɪnari	abaʊminaa	5	0.5555555555555556	5	1	3	True	0.5555555555555556	2.6	0.05777777777777778	0
abradɛrɛ	abradera	2	0.25	6	0	2	True	0.25	0.6	0.015	0
abrɛnʊntɪatɪonɛm	ɐbɹɨnuŋsiɐsɐʊ	14	0.875	2	6	8	True	0.875	6.05	0.075625	0
abrɔɡatɪonɛm	aβɾuɣasliʊmn	10	0.8333333333333334	3	5	4	True	0.8333333333333334	5.65	0.09416666666666668	0
abrɔɡarɛ	abraʊɡaa	4	0.5	5	1	2	True	0.5	2.6	0.065	0
abrɔtɔnʊm	abɔmtanʊm	3	0.3333333333333333	7	1	1	False	0.3333333333333333	2.6	0.05777777777777778	0
abrʊmpɛrɛ	abʁɔpʁ	6	0.6666666666666666	3	3	3	True	0.6666666666666666	4.2	0.09333333333333334	0
abrʊptɪonɛm	ɐbɹupsɐʊ	9	0.8181818181818182	2	4	5	False	0.8181818181818182	4.7	0.08545454545454546	0
abskɪndɛrɛ	absθis	7	0.7	3	4	3	False	0.7	5.0	0.1	0
abskɪssam	ɐbsisɐ	6	0.6666666666666666	3	3	3	False	0.6666666666666666	3.4000000000000004	0.07555555555555557	0
abskɔndɛrɛ	askunder	4	0.4	6	1	3	False	0.4	2.4	0.048	0
abskɔnsʊm	askuɔʊm	4	0.4444444444444444	6	3	0	True	0.4444444444444444	3.2	0.07111111111111111	0
absɛntarɛ	aʊsentaɾ	4	0.4444444444444444	5	2	2	True	0.4444444444444444	2.6	0.05777777777777778	0
absɔlutɪonɛm	absolusjɔna	6	0.5	6	2	4	False	0.5	2.65	0.04416666666666667	0
absɔlwɛrɛ	absulvea	5	0.5555555555555556	4	2	3	False	0.5555555555555556	2.05	0.04555555555555555	0
absɔrptɪonɛm	absɔɾpsʊm	6	0.5	6	3	3	False	0.5	4.45	0.07416666666666667	0
abstemɪʊm	astɛmjʊm	3	0.3333333333333333	6	1	2	True	0.3333333333333333	2.2	0.04888888888888889	0
abstɛrɡerɛ	abstɛɾʒer	3	0.3	7	2	1	False	0.3	2.75	0.055	0
abstɪnerɛ	abstinea	3	0.3333333333333333	6	1	2	False	0.3333333333333333	1.4	0.03111111111111111	0
abstrahɛrɛ	abstraea	4	0.4	6	2	2	False	0.4	2.6	0.052000000000000005	0
abstrudɛrɛ	ɐbstɹuiɹ	6	0.6	4	3	3	False	0.6	2.9	0.057999999999999996	0
abstrusɪonɛm	ɐbstɹuzɐʊ	8	0.6666666666666666	4	4	4	False	0.6666666666666666	4.3	0.07166666666666667	0
abstrusʊm	abstuyʊm	2	0.2222222222222222	7	2	0	False	0.2222222222222222	2.0	0.044444444444444446	0
absʊrdɪtatɛm	absurditada	5	0.4166666666666667	7	2	3	False	0.4166666666666667	2.05	0.034166666666666665	0
abʊndantɪssɪmʊm	aβundantisima	7	0.4666666666666667	8	3	4	False	0.4666666666666667	3.75	0.05	0
abusɪonɛm	ɐbuzɐʊ	7	0.7777777777777778	2	3	4	True	0.7777777777777778	4.05	0.09	0
abusiwʊm	abuzifa	4	0.5	4	3	1	True	0.5	2.35	0.058750000000000004	0
abuti	abuzaa	3	0.5	3	1	1	True	0.6	1.9	0.076	0
abyssʊm	abismʊm	2	0.2857142857142857	5	1	1	True	0.2857142857142857	0.95	0.027142857142857142	0
akademiam	akadamia	2	0.2222222222222222	7	1	1	True	0.2222222222222222	1.4	0.03111111111111111	0
akantʰʊm	akantʊ	2	0.25	6	2	0	True	0.25	2	0.05	0
akatalepsɪam	ɐkɐtɐlɨpsiɐ	7	0.5833333333333334	5	1	6	False	0.5833333333333334	1.9999999999999998	0.03333333333333333	0
akkapɪtarɛ	akalðaɾ	6	0.6	4	4	2	True	0.6	4.65	0.09300000000000001	0
akkedɛrɛ	aksɨaeɾra	6	0.6666666666666666	4	2	2	False	0.75	3.3	0.08249999999999999	0
akkɛlɛratorɪʊm	ɐsɨleɾɐtɔɾjʊ	11	0.7857142857142857	3	5	6	True	0.7857142857142857	6.5	0.09285714285714286	0
akkɛndɛrɛ	atʃʃɛnder	5	0.5555555555555556	5	2	2	False	0.5555555555555556	2.95	0.06555555555555556	0
akkɛntʊm	aksʃɛntʊm	2	0.2222222222222222	7	1	0	False	0.25	1.5	0.0375	0
akkɛptɪonɛm	aksppsjiʊmna	9	0.75	4	3	4	False	0.8181818181818182	5.2	0.09454545454545454	0
akkɛssɪonɛm	aksɛsjiʊmn	7	0.6363636363636364	5	3	3	False	0.6363636363636364	2.95	0.05363636363636364	0
akkɛssorɪʊm	aksɛswɔriʊm	4	0.36363636363636365	7	2	2	False	0.36363636363636365	1.25	0.022727272727272728	0
akkɛssʊm	akθɛsʊm	2	0.25	6	2	0	True	0.25	1.5	0.0375	0
akkɪdɛntɛm	ɐsideɪŋtɨ	9	0.9	2	4	4	True	0.9	4.8	0.096	0
akkɪdɛntɪam	ɐsideɪŋsjɐ	10	0.9090909090909091	1	5	5	True	0.9090909090909091	5.8500000000000005	0.10636363636363637	0
akkɪpɛrɛ	akeɛpptara	6	0.6	4	1	3	False	0.75	4.0	0.1	0
astʊrɛm	asoɾa	5	0.7142857142857143	2	3	2	True	0.7142857142857143	3.6	0.10285714285714286	0
akklararɛ	ɐklaɾa	5	0.5555555555555556	4	3	2	True	0.5555555555555556	3.8000000000000003	0.08444444444444445	0
akklinɛm	akkinea	3	0.375	5	2	1	False	0.375	2.2	0.05500000000000001	0
akkliwɪtatɛm	ɐklividadɨ	8	0.6666666666666666	4	5	3	True	0.6666666666666666	3.35	0.05583333333333333	0
akkɔmmɔdatɪonɛm	akɔmodasjɔona	8	0.5333333333333333	8	4	3	True	0.5333333333333333	5.25	0.07	0
akkɔŋkɪlɪarɛ	akʊmnsɨxa	9	0.75	3	5	4	True	0.75	6.300000000000001	0.10500000000000001	0
akkreskɛrɛ	akkreeɹra	4	0.4	6	2	2	False	0.4	3.15	0.063	0
akkretɪonɛm	akresjiʊmne	8	0.7272727272727273	5	3	3	True	0.7272727272727273	4.65	0.08454545454545455	0
akkʊbɪtʊm	ɐkubcta	6	0.6666666666666666	3	2	4	True	0.6666666666666666	4.2	0.09333333333333334	0
akkʊmʊlatɪonɛm	akumulasjɔina	9	0.6428571428571429	6	3	5	True	0.6428571428571429	5.45	0.07785714285714286	0
akkurarɛ	akuɾaɾ	4	0.5	4	3	1	True	0.5	3.4	0.08499999999999999	0
akkʊrrɛrɛ	akuʁarer	5	0.5555555555555556	4	2	3	True	0.5555555555555556	4.1	0.0911111111111111	0
akkusabɪlɛm	akyzablla	6	0.5454545454545454	5	3	3	True	0.5454545454545454	4.05	0.07363636363636364	0
akkusantɛm	ɐkuzɐŋtɨ	7	0.7	3	4	3	True	0.7	3.55	0.071	0
akkusatɪonɛm	akuzasjiʊmne	9	0.75	5	3	4	True	0.75	4.9	0.08166666666666668	0
akkusatorɛm	akuzatora	4	0.36363636363636365	7	3	1	True	0.36363636363636365	2.65	0.04818181818181818	0
akkusatorɪʊm	akuzatwɾjʊm	5	0.4166666666666667	7	3	2	True	0.4166666666666667	4.15	0.06916666666666667	0
akkusatrikɛm	akkuzatritʃe	4	0.3333333333333333	8	3	1	False	0.3333333333333333	2.5	0.041666666666666664	0
akkusarɛ	akuzaɹa	4	0.5	4	3	1	True	0.5	1.9	0.0475	0
akedɪam	atʃʃɛdia	6	0.75	3	2	2	True	0.8571428571428571	3.45	0.09857142857142857	0
akɛpʰalʊm	aθɛfɐlʊm	4	0.4444444444444444	5	3	1	True	0.4444444444444444	1.95	0.043333333333333335	0
akrɛm	artser	5	0.8333333333333334	2	2	1	False	1.0	2.45	0.098	0
akɛrbɪtatɛm	atʃɾβbitada	8	0.7272727272727273	4	4	3	True	0.7272727272727273	4.05	0.07363636363636364	0
akɛrbʊm	atɛɾrbʊm	2	0.25	6	1	0	True	0.2857142857142857	1.25	0.03571428571428571	0
akɛrnɪam	tʃɛrnia	4	0.5	4	2	2	False	0.5	2.5	0.0625	0
akɛrwatɪonɛm	ɐsɨɾəvɐsɐʊ	12	1.0	0	6	6	True	1.0	7.4	0.12333333333333334	0
akɛrwarɛ	aθeɾβaɾ	6	0.75	2	4	2	True	0.75	3.85	0.09625	0
akɛrwʊm	aθeɾəʊm	4	0.5714285714285714	3	3	1	True	0.5714285714285714	2.7	0.07714285714285715	0
aketabʊlʊm	atʃetablla	5	0.5	6	2	2	True	0.5	3.85	0.077	0
aketʊm	atʊetʊm	2	0.2857142857142857	5	1	0	True	0.3333333333333333	1.25	0.041666666666666664	0
akʰaten	aɡata	4	0.5714285714285714	3	3	1	True	0.5714285714285714	2.4	0.06857142857142857	0
akɪam	atsəa	4	0.8	2	2	1	False	0.8	2.45	0.098	0
akɪkʊlam	ɐsikulɐ	6	0.75	2	2	4	True	0.75	2.3	0.057499999999999996	0
akɪdɪtatɛm	atʃiditae	7	0.7	4	3	3	True	0.7	3.45	0.069	0
akɪɛm	asjʃaa	5	0.8333333333333334	1	2	2	True	1.0	3.9	0.156	0
akɪnʊm	atinʊm	2	0.3333333333333333	4	1	1	True	0.3333333333333333	0.25	0.008333333333333333	0
akɔnitʊm	akʊmnetʊm	3	0.3333333333333333	6	0	2	True	0.375	1.2	0.03	0
akkwɪeskɛrɛ	ɐkjɛsa	9	0.8181818181818182	2	5	4	True	0.8181818181818182	6.05	0.11	0
akkwirɛrɛ	akkiɾira	4	0.4444444444444444	5	2	2	False	0.4444444444444444	2.6	0.05777777777777778	0
akkwɪsitɪonɛm	akizixjiʊmne	10	0.7692307692307693	4	5	4	True	0.7692307692307693	5.9	0.09076923076923077	0
akrɪmonɪam	akʁimʊmnjia	7	0.6363636363636364	5	2	3	True	0.7	3.7	0.07400000000000001	0
akrɪtatɛm	akʁctada	5	0.5555555555555556	4	3	2	True	0.5555555555555556	3.15	0.06999999999999999	0
akrɪtudɪnɛm	akɹituda	6	0.5454545454545454	5	3	3	True	0.5454545454545454	3.65	0.06636363636363636	0
akrɔama	ɐkɹuɐmɐ	5	0.7142857142857143	2	1	4	True	0.7142857142857143	1.0499999999999998	0.029999999999999995	0
akta	ata	1	0.25	3	1	0	True	0.25	1	0.05	0
aktaɪam	ɐteɪɐ	5	0.7142857142857143	2	2	3	True	0.7142857142857143	2.8	0.08	0
aktiwʊm	aktivʊm	1	0.14285714285714285	6	1	0	True	0.14285714285714285	0.25	0.007142857142857143	0
aktorɛm	aktor	2	0.2857142857142857	5	1	1	True	0.2857142857142857	2	0.05714285714285714	0
aktrikɛm	aktriʃa	3	0.375	5	2	1	True	0.375	1.9	0.0475	0
aktʊalɛm	aptuɛla	5	0.625	3	2	3	False	0.625	2.45	0.061250000000000006	0
aktʊarɪʊm	aktyaɾɛʊm	3	0.3333333333333333	6	1	2	True	0.3333333333333333	1.4	0.03111111111111111	0
aktʊarɛ	aptuaɾa	4	0.5714285714285714	3	2	2	False	0.5714285714285714	2.05	0.058571428571428566	0
aktʊm	aktʊm	0	0.0	5	0	0	True	0.0	0	0.0	1
akʊarɪʊm	akar	4	0.5	4	1	3	True	0.5	4	0.1	0
akʊlɛʊm	akulea	4	0.5714285714285714	3	1	3	True	0.5714285714285714	2.2	0.06285714285714286	0
akumɛn	akumen	1	0.16666666666666666	5	0	1	True	0.16666666666666666	0.19999999999999996	0.006666666666666665	0
akumɪnarɛ	ɐkuminara	3	0.3333333333333333	6	0	3	True	0.3333333333333333	0.6	0.013333333333333332	0
akʊm	akʊm	0	0.0	4	0	0	True	0.0	0	0.0	1
adaɪkwatɪonɛm	aðekwaθjʊm	8	0.6153846153846154	5	3	5	True	0.6153846153846154	4.6	0.07076923076923076	0
adaɪkwarɛ	aðekwaɾ	5	0.5555555555555556	4	2	3	True	0.5555555555555556	2.65	0.058888888888888886	0
adamantɛm	adɛmanta	3	0.3333333333333333	6	1	2	True	0.3333333333333333	1.8	0.04	0
adamarɛ	aðamaɾ	3	0.42857142857142855	4	2	1	True	0.42857142857142855	1.65	0.04714285714285714	0
adaʊɡerɛ	adəwɡa	5	0.625	3	1	4	True	0.625	3.8	0.095	0
addɛkɪmarɛ	addetʃimare	5	0.45454545454545453	6	1	3	False	0.5	1.65	0.033	0
addikɛrɛ	addream	5	0.625	3	2	3	False	0.625	3.9	0.0975	0
addɪktɪonɛm	adiktjʊm	6	0.5454545454545454	5	2	4	True	0.5454545454545454	4.1	0.07454545454545454	0
addɪktʊm	adikptʊm	3	0.375	6	1	1	False	0.375	2.0	0.05	0
addɪtamɛntʊm	aðitamɛntʊm	3	0.25	9	2	1	True	0.25	1.25	0.020833333333333332	0
addɪtɪonɛm	adisjɔiʊmna	9	0.8181818181818182	3	3	4	True	0.9	5.7	0.114	0
addɛrɛ	adiɾ	4	0.6666666666666666	2	2	2	True	0.6666666666666666	2.6	0.08666666666666667	0
addɔrmirɛ	adaʊɾmmira	5	0.5	5	2	2	False	0.5555555555555556	3.1	0.06888888888888889	0
addɔrmiskɛrɛ	aðʊmɾmɨθseɹ	10	0.8333333333333334	3	5	4	True	0.8333333333333334	5.1000000000000005	0.085	0
adirɛ	adiɾa	2	0.4	3	1	1	True	0.4	1.4	0.055999999999999994	0
adɛspɔtɔn	adespotʊm	4	0.4444444444444444	5	1	3	True	0.4444444444444444	0.6499999999999999	0.014444444444444442	0
adɪakerɛ	addjatʃʃo	6	0.6666666666666666	3	2	3	False	0.75	4.6	0.11499999999999999	0
adɪantʊm	ɐdiɐŋtʊ	5	0.625	3	2	3	True	0.625	1.9	0.0475	0
adɪpɛm	adipa	3	0.5	3	1	2	True	0.5	1.4	0.04666666666666666	0
adɪtʊm	aditʊm	1	0.16666666666666666	5	0	1	True	0.16666666666666666	0.0	0.0	0
adɪudɪkatɪonɛm	adʒudikasjiona	7	0.5	8	2	4	True	0.5	3.65	0.052142857142857144	0
adɪudɪkarɛ	adʒudikaɾa	4	0.4	6	1	3	True	0.4	2.4	0.048	0
adɪʊŋktɪonɛm	adʒɔstsiona	8	0.6666666666666666	5	3	4	False	0.6666666666666666	3.6	0.060000000000000005	0
adɪʊŋktʊm	adʒuntʊm	4	0.4444444444444444	5	2	2	True	0.4444444444444444	2.9	0.06444444444444444	0
adɪʊŋɡɛrɛ	adʒŋdʒdʒer	8	0.8	4	1	4	True	0.8888888888888888	6.2	0.13777777777777778	0
adɪuratɪonɛm	adʒyʁasɐa	9	0.75	3	4	5	True	0.75	5.95	0.09916666666666667	0
adɪuratorɛm	ɐdʒuɾɐdoɹ	8	0.7272727272727273	3	4	4	True	0.7272727272727273	4.9	0.0890909090909091	0
adɪurarɛ	adʒyʁa	5	0.625	3	2	3	True	0.625	3.9	0.0975	0
adɪutorɪʊm	aʒutor	5	0.5	5	2	3	True	0.5	4.5	0.09	0
adɪʊwarɛ	adjuvara	4	0.5	4	1	3	True	0.5	2.05	0.05125	0
admɪnɪkʊlʊm	adminokulʊm	3	0.2727272727272727	8	0	3	True	0.2727272727272727	1.0	0.01818181818181818	0
admɪnɪstrarɛ	administraa	4	0.3333333333333333	8	1	3	True	0.3333333333333333	1.4	0.02333333333333333	0
admirabɪlɛm	admiɾabla	4	0.36363636363636365	7	2	2	True	0.36363636363636365	3.4	0.061818181818181814	0
admirabɪlɪtatɛm	ɐdmiɾɐbilidadɨ	9	0.6	6	4	5	True	0.6	3.3	0.044	0
admiratorɛm	ɐdmiɾɐdoɹ	7	0.6363636363636364	4	4	3	True	0.6363636363636364	3.9	0.07090909090909091	0
admɪssorɛm	ɐdmisoɹ	6	0.6	4	3	3	True	0.6	3.45	0.069	0
admɔnerɛ	admaʊntaa	5	0.5555555555555556	4	1	3	True	0.625	3.6	0.09	0
admɔnɪtɪonɛm	admʊmnisjiʊmn	9	0.6923076923076923	5	2	5	True	0.75	4.15	0.06916666666666667	0
adnodarɛ	annodrea	4	0.5	5	1	2	False	0.5	2.45	0.061250000000000006	0
adnʊɛrɛ	anwuire	5	0.7142857142857143	3	1	3	True	0.7142857142857143	1.5499999999999998	0.04428571428571428	0
adɔlerɛ	adja	5	0.7142857142857143	2	2	3	True	0.7142857142857143	3.9	0.11142857142857143	0
adɔleskɛrɛ	ɐdulɨseɹ	7	0.7	3	2	5	True	0.7	3.05	0.061	0
adoratɪonɛm	adoɾasjɔʊmna	8	0.6666666666666666	5	3	3	True	0.7272727272727273	5.3	0.09636363636363636	0
adornarɛ	aðʊmɾna	6	0.75	3	3	2	True	0.75	2.55	0.06375	0
adorarɛ	adaʊɾaa	5	0.7142857142857143	3	2	2	True	0.7142857142857143	3.1999999999999997	0.09142857142857141	0
adulatɪonɛm	adulasliʊm	5	0.45454545454545453	6	2	3	True	0.45454545454545453	3.45	0.06272727272727273	0
adulatorɛm	adulatuɹa	4	0.4	6	2	2	True	0.4	1.85	0.037000000000000005	0
adʊleskɛntɪam	adulesɑsŋsja	7	0.5384615384615384	6	4	3	True	0.5384615384615384	5.15	0.07923076923076923	0
adulari	adulaa	2	0.2857142857142857	5	1	1	True	0.2857142857142857	1.4	0.04	0
adʊltɛrʊm	avultɨɾa	6	0.6666666666666666	3	3	3	True	0.6666666666666666	3.9	0.08666666666666667	0
adʊltɛrinʊm	adulteɾinʊm	3	0.2727272727272727	8	1	2	True	0.2727272727272727	1.6	0.02909090909090909	0
