ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT	parsimony_proto1	parsimony_proto2	parsimony_proto3	parsimony_proto4	parsimony_proto5
-	-ist	-ista	-ista	-iʃtɐ	-ɪstam	-ista	-istɐ	-iʃta	-iʃtɐ	
-itate	-	-ita	-eðad	-idadɨ	-ɪtatɛm	-itade	-itadɨ	-itate	-itatɨ	-iðade
-	-it	-	-	-	-iten	-it				
-itsje	-es	-itsia	-iθja	-	-ɪtɪam	-itsje	-itsja	-itsie	-itsia	-itsae
-iw	-if	-ivo	-iβo	-ivʊ	-iwʊm	-ivo	-ivʊ	-iwo	-ifo	-iβo
-mɨnt	-mɑ̃	-mento	-mɛnto	-meɪŋtʊ	-mɛntʊm	-mentoʊ	-menttʊ	-mɨntoʊ	-mɑntoʊ	-mɛntoʊ
-or	-œl	-olo	-welo	-ɔlɐ	-ɔlʊm	-oloo	-ollo	-olɐo	-œloo	-œllo
-	-œʁ	-	-	-	-orɛm	-œʁ				
-os	-ø	-ozo	-oso	-ozʊ	-osʊm	-oso	-ozo	-osʊ	-ozʊ	-øso
-tate	-te	-ita	-dad	-dadɨ	-tatɛm	-tade	-tadɨ	-dade	-dadɨ	-tate
-tsjune	-sjɔ̃	-tsione	-θjon	-sɐ̃ʊ̃	-tɪonɛm	-tsjune	-tsjone	-tsjnne	-tsɔune	-tsɔone
-tor	-tœʁ	-tore	-doɾ	-doɹ	-torɛm	-tore	-toʁe	-toɾe	-toɹe	-dore
-tor	-waʁ	-tojo	-toɾjo	-tɔɾjʊ	-torɪʊm	-toɾjo	-toɾjʊ	-toɾoo	-toɾoʊ	-torjo
-	-tʁis	-tritʃe	-tɾiθ	-tɹiʃ	-trikɛm	-tʁisʃe	-tʁitʃe	-tʁiθʃe	-tʁiʃʃe	-trisʃe
-itudʲine	-	-itudine	-	-	-tudɪnɛm	-itudʲine	-itudʲiee	-itudʲnne	-itudʲnee	-itudiine
-tuɾə	-tyʁ	-tura	-duɾa	-	-turam	-tuɾa	-tuɾə	-tuʁa	-tura	-tuʁə
-	-	-olo	-welo	-	-ʊlʊm	-oloo	-ollo	-oeoo	-oelo	-wloo
-	-ø	-ɔː	-o	-	-ʊm	-øː	-ɔː	-oː		
-	-vɔʁ	-vɔro	-	-	-wɔrʊm	-vɔʁo	-vɔro			
-	-	abbatʃinare	-	-	abakɪnarɛ	abbatʃinare				
-	-	-	-	ɐbɐtoɹ	abaktorɛm	ɐbɐtoɹ				
-	abakyl	-	-	ɐbakulʊ	abakʊlʊm	abakylʊ	abakulʊ	ɐbakylʊ	ɐbakulʊ	
-	abaljenasjɔ̃	abalienatsione	-	ɐbɐliɨnɐsɐ̃ʊ̃	abalɪenatɪonɛm	abalienasjɔone	abalienasjione	abalienasjʊone	abalienassɔone	abalienassione
-	abaljene	abalienare	-	ɐbɐliɨnaɹ	abalɪenarɛ	abalienare	abalienaɹe	abalienere	abalieneɹe	abaliɨnare
-	-	abalieta	-	-	abalɪɛtatɛm	abalieta				
abatsje	abaj	abbatsia	aβaðia	ɐbɐdiɐ	abbatɪam	abatijea	abatijia	abatisea	abatisia	abatiaea
abatsjal	abasjal	-	aβaθjal	ɐbɐsiɑl	abbatɪalɛm	abasjall	abasjjll	abasjɑll	abassall	abasiall
-	abʁevjasjɔ̃	abbrevjatsione	aβɾeβjaθjon	ɐbɹɨviɐsɐ̃ʊ̃	abbrɛwɪatɪonɛm	abʁevjasjɔione	abʁevjasjɔnone	abʁevjasjsione	abʁevjasjsnone	abʁevjasjoione
-	abʁevje	abbrevjare	aβɾeβjaɾ	ɐbɹɨviaɹ	abbrɛwɪarɛ	abʁevjaare	abʁevjaɾre	abʁevjaɹre	abbevjaare	abbevjaɾre
-	-	-	-	ɐbsizɐ̃ʊ̃	abkɪsɪonɛm	ɐbsizɐʊ				
abdomen	abdomɛn	addɔme	abðomen	ɐbdɔmeɪŋ	abdomɛn	abdomenŋ	abdɔmenŋ	abdomeɪŋ	abdɔmeɪŋ	abdomɛnŋ
abdutʃe	-	-	abðuθiɾ	ɐbduziɹ	abdukɛrɛ	abdutie	abdutiɾ	abdutiɹ	abduθie	abduθiɾ
-	abdyksjɔ̃	abdutsione	abðukθjon	ɐbdusɐ̃ʊ̃	abdʊktɪonɛm	abduksjone	abduksjɔne	abduksione	abduksʊone	abdukθjone
-	-	-	-	ɐbɨsɨdaɾjʊ	abɛkɛdarɪʊm	ɐbɨsɨdaɾjʊ				
alunə	avlin	-	aβeʎana	ɐvɨlɐ̃	abɛllanam	avunəna	avunnna	avunana	avunɐna	avuiəna
-	abɛʁe	aberrare	aβeraɾ	ɐbɨʁaɹ	abɛrrarɛ	abeʁaare	abeʁaɾre	abeʁaɹre	aberaare	aberaɾre
boɾɨ	aboʁe	aborrire	aβuriɾ	ɐvuʁiɹ	abhɔrrerɛ	aboʁiire	aboʁiɾre	aboʁiɹre	aboriire	aboriɾre
-	-	abjettare	aβjektaɾ	ɐbʒɨtaɹ	abɪkɛrɛ	abjettare	abjettaɾe	abjettɹre	abjettɹɾe	abjetaare
-	-	-	aβjekθjon	ɐbʒɨsɐ̃ʊ̃	abɪɛktɪonɛm	aβjekθjon	aβjekθʊon	aβjekɐjon	aβjekɐʊon	aβjesθjon
-	abi	abete	aβeto	ɐbɛtʊ	abɪetɛm	abete	abeto	abetʊ	abite	abito
-	-	abidʒeato	aβixeato	ɐbiʒiatʊ	abɪɡɛatʊm	abidʒatto	abidʒatoo	abidʒatʊo	abideatto	abideatoo
-	-	-	aβixeo	ɐbiʒiʊ	abɪɡɛʊm	aβixeo	aβixeʊ	aβixio	aβixiʊ	aβiʒeo
-	-	-	-	ɐbʒudikaɹ	abɪudɪkarɛ	ɐbʒudikaɹ				
-	-	-	-	ɐbʒũŋʒiɹ	abɪʊŋɡɛrɛ	ɐbʒuŋʒiɹ				
-	abʒyʁasjɔ̃	-	aβxuɾaθjon	ɐbʒuɾɐsɐ̃ʊ̃	abɪuratɪonɛm	abʒuɾasjɔn	abʒuɾasjon	abʒuɾasjʊn	abʒuɾasɐɔn	abʒuɾasɐon
-	-	-	-	ɐbʒuɾəɡaɹ	abɪurɡarɛ	ɐbʒuɾəɡaɹ				
-	abʒyʁe	abjurare	aβxuɾaɾ	ɐbʒuɾaɹ	abɪurarɛ	abʒuɾare	abʒuɾaɾe	abʒuɾaɹe	abʒuʁare	abʒuʁaɾe
-	ablaktasjɔ̃	-	-	ɐblɐtɐsɐ̃ʊ̃	ablaktatɪonɛm	ablaktasjɔ	ablaktasʊɔ	ablaktaɐjɔ	ablaktaɐʊɔ	ablaktssjɔ
-	-	-	aβlaktaɾ	ɐblɐtaɹ	ablaktarɛ	aβlaktaɾ	aβlaktɹɾ	aβlakaaɾ	aβlakaɹɾ	aβlattaɾ
-	-	ablakweatsione	aβlakeaθjon	ɐblɐkeɐsɐ̃ʊ̃	ablakwɛatɪonɛm	ablakeeatsione	ablakeeatsnone	ablakeeatoione	ablakeeatonone	ablakeeatʊione
-	-	-	-	ɐblɐtoɹ	ablatorɛm	ɐblɐtoɹ				
-	-	ableɡatsione	-	ɐblɨɡɐsɐ̃ʊ̃	ableɡatɪonɛm	ableɡatsione	ableɡatsʊone	ableɡatɐione	ableɡatɐʊone	ableɡassione
-	-	-	-	ɐblɨɡaɹ	ableɡarɛ	ɐblɨɡaɹ				
-	-	-	-	ɐblɨpsiɐ	ablɛpsɪam	ɐblɨpsiɐ				
-	ablye	-	-	ɐbluiɹ	ablʊɛrɛ	ablyeɹ	ablyiɹ	ablueɹ	abluiɹ	ɐblyeɹ
-	-	-	-	ɐblutʊ	ablutorɛm	ɐblutʊ				
-	abneɡe	abneɡare	abneɣaɾ	ɐbnɨɡaɹ	abnɛɡarɛ	abneɡare	abneɡaɾe	abneɡaɹe	abneɡere	abneɡeɾe
abnorm	-	abnɔrme	-	-	abnormɛm	abnorme	abnɔrme			
-	-	-	abnwiɾ	ɐbnuiɹ	abnʊɛrɛ	abnwiɾ	abnwiɹ	abnuiɾ	abnuiɹ	ɐbnwiɾ
-	abolisjɔ̃	abolitsione	aβoliθjon	ɐbulisɐ̃ʊ̃	abɔlɪtɪonɛm	abolisjɔone	abolisjɔnne	abolisjione	abolisjinne	abolisjoone
-	-	abɔmazo	aβomaso	ɐbumazʊ	abɔmasʊm	abɔmazo	abomazo	abumazo	abɔmazʊ	abomazʊ
-	abominasjɔ̃	abominatsione	aβominaθjon	ɐbuminɐsɐ̃ʊ̃	abomɪnatɪonɛm	abominasjɔone	abominasjɔnne	abominasjione	abominasjinne	abominasjoone
-	abomine	-	-	-	abomɪnarɛ	abomine				
-	abomine	abominare	aβominaɾ	ɐbuminaɹ	abomɪnari	abominare	abominaɾe	abominaɹe	abominere	abomineɾe
-	-	abradere	-	-	abradɛrɛ	abradere				
-	-	-	-	ɐbɹɨnũŋsiɐsɐ̃ʊ̃	abrɛnʊntɪatɪonɛm	ɐbɹɨnuŋsiɐsɐʊ				
-	-	-	aβɾoɣaθjon	abʁuɡɐsɐ̃ʊ̃	abrɔɡatɪonɛm	aβɾoɣaθjon	aβɾoɣaθjʊn	aβɾoɣaθɐon	aβɾoɣaθɐʊn	aβɾoɣasjon
abroɡa	abʁoʒe	abroɡare	aβɾoɣaɾ	abʁuɡaɹ	abrɔɡarɛ	abroɡare	abroɡaɾe	abroɡaɹe	abʁoɡare	abʁoɡaɾe
-	oʁɔn	abrotano	aβɾotano	ɐbɹɔtɐnʊ	abrɔtɔnʊm	abɔotano	abrotano	abɾotano	abɹotano	abɔotanʊ
-	abʁɔ̃pʁ	-	-	-	abrʊmpɛrɛ	abʁɔpʁ				
-	-	-	-	ɐbɹupsɐ̃ʊ̃	abrʊptɪonɛm	ɐbɹupsɐʊ				
-	absis	-	aβsθisa	-	abskɪndɛrɛ	absissa	absiisa	absθssa	absθisa	aβsissa
-	-	-	-	ɐbsisɐ	abskɪssam	ɐbsisɐ				
askunde	abskɔ̃dʁ	askondere	eskondeɾ	ʃkuŋdeɹ	abskɔndɛrɛ	askondere	askondeɾe	askundere	askundeɾe	askkndere
askuns	abskɔ̃	askozo	eskuso	-	abskɔnsʊm	askuno	askuɔo	askuzo	askuso	askuns
-	-	-	aʊsentaɾ	-	absɛntarɛ	aʊsentaɾ				
-	absolysjɔ̃	assolutsione	aβsoluθjon	ɐbsulusɐ̃ʊ̃	absɔlutɪonɛm	absolusjɔone	absolusjɔnne	absolusjione	absolusjinne	absolusjoone
absolvʲi	absudʁ	assolvere	aβsolβeɾ	ɐbsulveɹ	absɔlwɛrɛ	absolveie	absolvere	absolveɾe	absolveɹe	absulveie
-	absɔʁpsjɔ̃	-	aβsoɾθjon	ɐbsuɾəsɐ̃ʊ̃	absɔrptɪonɛm	absɔɾpsjɔ	absɔɾpsjn	absɔɾpsjʊ	absɔɾpsoɔ	absɔɾpson
-	-	astemio	aβstemjo	ɐbstɛmjʊ	abstemɪʊm	asstmmjo	asstmmjʊ	asstemjo	asstemjʊ	asstɛmjo
-	abstɛʁʒe	astɛrdʒere	aβsteɾxeɾ	ɐbstɨɾəʒeɹ	abstɛrɡerɛ	abstɛɾʒere	abstɛɾʒerɹ	abstɛɾʒeɾe	abstɛɾʒeɾɹ	abstɛɾʒeee
abtsine	abstniʁ	astenere	aβsteneɾ	ɐbsteɹ	abstɪnerɛ	abstnnee	abstnneɾ	abstenee	absteneɾ	abstnnʁe
abstradʒe	abstʁɛʁ	astrarre	aβstɾaeɾ	ɐbstɹɐiɹ	abstrahɛrɛ	abstradʒe	abstradee	abstradɾe	abstradɹe	abstraʁʒe
-	-	-	-	ɐbstɹuiɹ	abstrudɛrɛ	ɐbstɹuiɹ				
-	-	-	-	ɐbstɹuzɐ̃ʊ̃	abstrusɪonɛm	ɐbstɹuzɐʊ				
-	abstʁy	astruzo	-	-	abstrusʊm	abstʁyo	abstʁzo	abstuyo	abstuzo	absrʁyo
absurditate	absyʁdite	assurdita	aβsuɾðiðad	ɐbsuɾədidadɨ	absʊrdɪtatɛm	absurditateɨ	absurditatdɨ	absurditadeɨ	absurditaddɨ	absurditaaeɨ
-	-	-	aβundantisimo	-	abʊndantɪssɪmʊm	aβundantisimo				
-	-	-	-	ɐbuzɐ̃ʊ̃	abusɪonɛm	ɐbuzɐʊ				
abuziv	abyzif	-	aβusiβo	ɐbuzivʊ	abusiwʊm	abuzivo	abuzivʊ	abuzifo	abuzifʊ	abuziβo
abuza	abyze	abuzare	-	ɐbuzaɹ	abuti	abuzare	abuzaɹe	abuzere	abuzeɹe	abyzare
-	abim	abisso	aβismo	ɐbiʒmʊ	abyssʊm	abismo	abismʊ	abisso	abimmo	abiʒmo
-	akademi	akkadɛmia	akaðemja	ɐkɐdɨmiɐ	akademiam	akademiia	akademiaa	akademiɐa	akademmia	akademmaa
akantə	akɑ̃t	akanto	akanto	ɐkɐ̃ŋtʊ	akantʰʊm	akanto	akantə	akantʊ	akatto	akaŋto
-	-	-	-	ɐkɐtɐlɨpsiɐ	akatalepsɪam	ɐkɐtɐlɨpsiɐ				
-	-	-	akalðaɾ	-	akkapɪtarɛ	akalðaɾ				
-	aksede	atʃʃedere	akθeðeɾ	ɐsɨdeɹ	akkedɛrɛ	akseeeere	akseeeɾre	akʃeeeere	akʃeeeɾre	akθeeeere
-	-	-	-	ɐsɨleɾɐtɔɾjʊ	akkɛlɛratorɪʊm	ɐsɨleɾɐtɔɾjʊ				
-	-	atʃʃɛndere	-	ɐseɪŋdeɹ	akkɛndɛrɛ	atʃʃɛndere	atʃʃɛndɹre	atʃʃɛneere	atʃʃɛneɹre	atʃʃɛddere
aktʃent	aksɑ̃	atʃʃɛnto	aθɛnto	ɐseɪŋtʊ	akkɛntʊm	aktʃento	aktʃɛnto	aktʃtnto	aktʃŋnto	aksʃento
-	aksɛpsjɔ̃	atʃʃetsione	aθepθjon	ɐsɨpsɐ̃ʊ̃	akkɛptɪonɛm	aksppsjɔone	aksppsjione	aksppsjnone	aksppssɔone	aksppssione
-	aksɛsjɔ̃	atʃʃession	akθesjon	ɐsɨsɐ̃ʊ̃	akkɛssɪonɛm	aksɛsjɔion	aksɛsjɔnon	aksɛsjsion	aksɛsjsnon	aksɛsjoion
-	aksɛswaʁ	atʃʃessɔrio	-	ɐsɨsɔɾjʊ	akkɛssorɪʊm	aksɛswaʁrio	aksɛswaɔrio	aksɛswaʊrio	aksɛswsʁrio	aksɛswsɔrio
-	-	-	akθeso	ɐsɛsʊ	akkɛssʊm	akθeso	akθeʊo	akθsso	akθsʊo	akɛeso
-	-	-	-	ɐsideɪŋtɨ	akkɪdɛntɛm	ɐsideɪŋtɨ				
-	-	-	-	ɐsideɪŋsjɐ	akkɪdɛntɪam	ɐsideɪŋsjɐ				
-	aksɛpte	atʃʃettare	aθepptaɾ	ɐseɪtaɹ	akkɪpɛrɛ	akeɛpteare	akeɛpteɾre	akeɛpttare	akeɛpttɾre	akeɛptaare
-	otuʁ	astore	aθoɾ	ɐsoɹ	astʊrɛm	asoʁre	asoore	asoɾre	asoɹre	asuʁre
-	-	-	aklaɾaɾ	ɐklɐɾaɹ	akklararɛ	aklaɾaɾ	aklaɾaɹ	aklɐɾaɾ	aklɐɾaɹ	ɐklaɾaɾ
-	-	akkline	-	-	akklinɛm	akkline				
-	-	-	-	ɐklividadɨ	akkliwɪtatɛm	ɐklividadɨ				
-	akɔmodasjɔ̃	akkomodatsione	akomoðaθjon	ɐkumudɐsɐ̃ʊ̃	akkɔmmɔdatɪonɛm	akɔmodasjɔione	akɔmodasjɔnone	akɔmodasjsione	akɔmodasjsnone	akɔmodasjoione
-	-	-	akonsexaɾ	ɐkuŋsɨʎaɹ	akkɔŋkɪlɪarɛ	akonsexaɾ	akonsexaɹ	akonseʎaɾ	akonseʎaɹ	akonsɨxaɾ
-	-	akkreʃere	akɾeθeɾ	ɐkɹɨseɹ	akkreskɛrɛ	akkreeere	akkreeɾre	akkreeɹre	akkrθeere	akkrθeɾre
akretsje	akʁesjɔ̃	akkretsione	akɾeθjon	ɐkɹɨsɐ̃ʊ̃	akkretɪonɛm	akresjjeone	akresjjione	akresjjnone	akresjɔeone	akresjɔione
-	-	-	-	ɐkubitʊ	akkʊbɪtʊm	ɐkubitʊ				
-	akymylasjɔ̃	akkumulatsione	akumulaθjon	ɐkumulɐsɐ̃ʊ̃	akkʊmʊlatɪonɛm	akumulasjɔione	akumulasjɔnone	akumulasjsione	akumulasjsnone	akumulasjoione
-	-	-	akuɾaɾ	-	akkurarɛ	akuɾaɾ				
-	akuʁiʁ	akkɔrrere	akoreɾ	ɐkuʁeɹ	akkʊrrɛrɛ	akuʁeʁere	akuʁerere	akuʁeɾere	akuʁeɹere	akuʁiʁere
-	akyzabl	akkuzabile	-	ɐkuzavɛl	akkusabɪlɛm	akyzablile	akyzabllle	akyzabbile	akyzabblle	akyzabɛile
-	-	-	-	ɐkuzɐ̃ŋtɨ	akkusantɛm	ɐkuzɐŋtɨ				
akuzatsje	akyzasjɔ̃	akkuzatsione	akusaθjon	ɐkuzɐsɐ̃ʊ̃	akkusatɪonɛm	akuzasjjeone	akuzasjjione	akuzasjjnone	akuzasjɔeone	akuzasjɔione
akuzətor	akyzatœʁ	akkuzatore	akusaðoɾ	ɐkuzɐdoɹ	akkusatorɛm	akuzatorre	akuzatoʁre	akuzatoore	akuzatoɾre	akuzatoɹre
-	akyzatwaʁ	akkuzatɔrio	akusatoɾjo	ɐkuzɐtɔɾjʊ	akkusatorɪʊm	akuzatwɾjio	akuzatwɾjoo	akuzatwɾjʊo	akuzattɾjio	akuzattɾjoo
-	-	akkuzatritʃe	-	-	akkusatrikɛm	akkuzatritʃe				
akuza	akyze	akkuzare	akusaɾ	ɐkuzaɹ	akkusarɛ	akuzaare	akuzaɾre	akuzaɹre	akuzeare	akuzeɾre
-	-	atʃʃidia	-	ɐsɛdjɐ	akedɪam	atʃʃidia	atʃʃiɐia	atʃʃjdia	atʃʃjɐia	atʃdidia
-	-	-	aθefalo	ɐsɛfɐlʊ	akɛpʰalʊm	aθefalo	aθefalʊ	aθefɐlo	aθefɐlʊ	aθɛfalo
artsar	eʁabl	atʃero	aθeɾe	asɨɹ	akrɛm	artsar	artsao	artslr	artslo	artsrr
-	-	atʃerbita	aθeɾβiðad	ɐsɨɾəbidadɨ	akɛrbɪtatɛm	atʃɾrbitadɨ	atʃɾrbiaadɨ	atʃɾrbidadɨ	atʃɾβbitadɨ	atʃɾβbiaadɨ
atʃerb	asɛʁb	atʃɛrbo	aθeɾβo	ɐsɛɾəbʊ	akɛrbʊm	atʃɾrbo	atʃɾrbʊ	atɛɾrbo	atɛɾrbʊ	asʃɾrbo
-	-	tʃɛrnia	-	-	akɛrnɪam	tʃɛrnia				
-	-	-	-	ɐsɨɾəvɐsɐ̃ʊ̃	akɛrwatɪonɛm	ɐsɨɾəvɐsɐʊ				
-	-	-	aθeɾβaɾ	-	akɛrwarɛ	aθeɾβaɾ				
-	-	-	aθeɾβo	ɐseɾəvʊ	akɛrwʊm	aθeɾβoʊ	aθeɾβvʊ	aθeɾəoʊ	aθeɾəvʊ	aseɾβoʊ
atʃetabul	asetabyl	atʃetabolo	-	ɐsɨtabulʊ	aketabʊlʊm	atʃetabllo	atʃetbbllo	atʃeaabllo	atʃeabbllo	atʃttabllo
otset	-	atʃeto	aθeðo	ɐzedʊ	aketʊm	ateeto	ateeoo	ateeʊo	ateðto	atedto
-	aɡat	aɡata	aɣata	aɡɐtɐ	akʰaten	aɡata	aɡatɐ	aɡɐta	aɣata	aɡɐtɐ
atsə	-	atʃʃa	-	-	akɪam	atsəa	atsʃa	atʃəa	atʃʃa	
-	-	-	-	ɐsikulɐ	akɪkʊlam	ɐsikulɐ				
-	-	atʃidita	-	ɐsididadɨ	akɪdɪtatɛm	atʃiditaɨ	atʃiditdɨ	atʃidiaaɨ	atʃidiadɨ	atʃiddtaɨ
-	asje	atʃʃaio	aθ	aʃ	akɪɛm	asjeaio	asjʃaio	asʃeaio	asʃʃaio	atjeaio
-	-	atʃino	-	asinʊ	akɪnʊm	atʃino	atʃiʊo	atʃnno	atʃnʊo	atiino
-	-	akonito	-	ɐkonitʊ	akɔnitʊm	akonito	akonitʊ	ɐkonito	ɐkonitʊ	
-	akjɛse	-	-	ɐkiɨseɹ	akkwɪeskɛrɛ	akjɛseɹ	akjɨseɹ	akiɛseɹ	akiɨseɹ	ɐkjɛseɹ
-	akeʁiʁ	akkwizire	adkiɾiɾ	ɐdkiɾiɹ	akkwirɛrɛ	akkiiiire	akkiiiɾre	akkiiiɹre	akkiɾiire	akkiɾiɾre
akizitsje	akizisjɔ̃	akkwizitsione	adkisiθjon	ɐkizisɐ̃ʊ̃	akkwɪsitɪonɛm	akizissjeione	akizissjenone	akizissjsione	akizissjsnone	akizissjoione
-	akʁimoni	akrimɔnia	akɾimonja	ɐkɹimonjɐ	akrɪmonɪam	akʁimonia	akʁimonja	akrimonia	akrimonja	akɾimonia
-	akʁəte	-	-	ɐkɹidadɨ	akrɪtatɛm	akʁətedɨ	akʁətadɨ	akʁədedɨ	akʁədadɨ	akʁitedɨ
-	-	-	akɾitud	ɐkɹitudɨ	akrɪtudɪnɛm	akɾitudɨ	akɹitudɨ	ɐkɾitudɨ	ɐkɹitudɨ	
-	-	-	-	ɐkɹuɐ̃mɐ	akrɔama	ɐkɹuɐmɐ				
-	-	-	akta	atɐ	akta	akta	akɐa	atta	atɐa	
-	-	-	-	ɐteɪɐ	aktaɪam	ɐteɪɐ				
-	aktif	attivo	aktiβo	ɐtivʊ	aktiwʊm	aktifo	aktivo	aktiβo	aktiʊo	attifo
aktor	aktœʁ	attore	aktoɾ	ɐtoɹ	aktorɛm	aktore	aktoʁe	aktoɾe	attore	attoʁe
-	aktʁis	attritʃe	aktɾiθ	ɐtɹiʃ	aktrikɛm	aktʁisʃe	aktʁitʃe	aktʁiθʃe	aktrisʃe	aktritʃe
-	aktyɛl	attuale	-	ɐtuɑl	aktʊalɛm	attyɛle	attyale	attylle	attuɛle	attuale
-	aktyɛʁ	attuario	aktwaɾjo	-	aktʊarɪʊm	aktyaʁio	aktyaʁjo	aktyario	aktyarjo	aktyaɾio
-	-	attuare	aktwaɾ	ɐtuaɹ	aktʊarɛ	attuare	attuaɾe	attware	attwaɾe	attaare
akt	akt	atto	akto	atʊ	aktʊm	akto	atto	akʊo	atʊo	
akar	-	-	-	-	akʊarɪʊm	akar				
akulew	eɡlɑ̃tje	akuleo	akuleo	ɐkuliʊ	akʊlɛʊm	akuleoe	akulewe	akuleje	akuleʊe	akultoe
-	-	akume	akumen	-	akumɛn	akumen				
-	-	akuminare	-	ɐkuminaɹ	akumɪnarɛ	akuminare	akuminaɹe	ɐkuminare	ɐkuminaɹe	
ak	-	aɡo	-	-	akʊm	ako	aɡo			
-	-	-	aðekwaθjon	-	adaɪkwatɪonɛm	aðekwaθjon				
-	-	-	aðekwaɾ	-	adaɪkwarɛ	aðekwaɾ				
djamant	ɛmɑ̃	adamante	aðamante	ɐdɐmɐ̃ŋtɨ	adamantɛm	adamante	adamantɨ	ajamante	amamante	aðamante
-	-	-	aðamaɾ	-	adamarɛ	aðamaɾ				
adəwɡa	-	-	-	-	adaʊɡerɛ	adəwɡa				
-	-	addetʃimare	-	-	addɛkɪmarɛ	addetʃimare				
-	-	addire	aðikaɾ	-	addikɛrɛ	addire	addirɾ	addiae	addiaɾ	addkre
adiktsie	adiksjɔ̃	-	aðikθjon	ɐdisɐ̃ʊ̃	addɪktɪonɛm	adiktjie	adiktjin	adiktjɔe	adiktjɔn	adiktjoe
-	adikt	addetto	aðikto	ɐditʊ	addɪktʊm	adiktto	adiktoo	adietto	adietoo	adittto
-	-	-	aðitamɛnto	ɐditɐmeɪŋtʊ	addɪtamɛntʊm	aðitamɛntoʊ	aðitamɛnttʊ	aðitamɛnŋoʊ	aðitamɛnŋtʊ	aðitamɛɪtoʊ
-	adisjɔ̃	additsione	aðiθjon	ɐdisɐ̃ʊ̃	addɪtɪonɛm	adisjɔione	adisjɔnone	adisjsione	adisjsnone	adisjoione
-	-	-	aðiɾ	ɐdiɹ	addɛrɛ	aðiɾ	aðiɹ	adiɾ	adiɹ	ɐðiɾ
