word,language,top_1_transformation,top_1_score,top_2_transformation,top_2_score
-iβo,spanish,-iβʊm,-4.040527072400182,-iβo,-4.984553455625177
-ivʊ,portuguese,-ivʊ,-3.8214026458194956,,
-mɨnt,romanian,-mɨnt,-3.8289673405836693,,
-mɑ̃,french,-mɑ̃,-9.175716190139843,,
-mento,italian,-mentʊm,-3.860283794901845,-mentʊma,-4.546332242804979
-mɛnto,spanish,-mɛntʊm,-3.848937636772506,-mɛnto,-4.532921760080453
-meɪŋtʊ,portuguese,-meɪŋtʊ,-5.5314953673899945,,
-or,romanian,-or,-6.1069799910696485,-aʊr,-6.689301547863603
-œl,french,-œl,-8.531698975487087,,
-olo,italian,-olʊm,-1.7425823589626384,-aʊlʊm,-1.7925823589626384
-welo,spanish,-welʊm,-2.09431618487007,-welʊma,-2.4713986811414435
-ɔlɐ,portuguese,-ɔlɐ,-8.539139361068292,,
-œʁ,french,-œʁ,-4.7594379124341,,
-os,romanian,-aʊs,-5.463832810509703,-os,-5.668522630705378
-ø,french,-ø,-7.5011973816621555,,
-ozo,italian,-ozʊm,-5.2132473332220135,-aʊzʊm,-5.445568890015968
-oso,spanish,-osʊm,-5.030925776428059,-aʊsʊm,-5.34329004089555
-ozʊ,portuguese,-ozʊ,-5.643933773714306,,
-tate,romanian,-tate,-4.932172581304445,,
-te,french,-ta,-3.504290305625264,-taa,-4.247437486185209
-dad,spanish,-dad,-4.609860006183766,,
-dadɨ,portuguese,-dadɨ,-4.988364073155802,,
-tsjune,romanian,-tsjune,-5.293882810930887,,
-sjɔ̃,french,-sliɔ̃,-5.924401761858936,-sjɔ̃,-8.568936653750772
-tsione,italian,-tsiʊmne,-5.844842440171831,-tsiʊmneʊm,-6.016676351486251
-θjon,spanish,-θliʊmn,-6.06087399848015,-θjʊmn,-6.439522442043971
-sɐ̃ʊ̃,portuguese,-sɐ̃ʊ̃,-6.477334204020593,,
-tor,romanian,-tor,-5.457121375921715,-taʊr,-5.8571213759217144
-tœʁ,french,-tœʁ,-8.826821433520074,,
-tore,italian,-tore,-5.819381047938868,-taʊre,-6.002025522545164
-doɾ,spanish,-doɾ,-5.520696887375458,-daʊɾ,-5.793840438689667
-doɹ,portuguese,-doɹ,-5.594028160461008,,
-waʁ,french,-waʁ,-7.844003303182756,,
-tojo,italian,-taʊjʊm,-4.980904489942811,-tʊmjʊm,-4.988675634667699
-toɾjo,spanish,-toɾjʊm,-5.094233175249815,-tʊmɾjʊm,-5.1587052078583495
-tɔɾjʊ,portuguese,-tɔɾjʊ,-5.726101297418748,,
-tʁis,french,-tʁis,-3.2783870203532857,,
-tritʃe,italian,-tritʃe,-4.264243599017498,,
-tɾiθ,spanish,-tɾiθ,-3.6283870203532853,,
-tɹiʃ,portuguese,-tɹiʃ,-3.3407049479015045,,
-itudʲine,romanian,-itudʲine,-2.0772209480904835,-litudʲine,-2.2971199848858808
-itudine,italian,-itudinea,-1.916231493035235,-itudine,-2.0272209480904837
-tuɾə,romanian,-tuɾə,-3.7173371841667002,,
-tyʁ,french,-tyʁ,-8.028313737302302,,
-tura,italian,-tura,-3.2673371841667,-turaa,-4.03135593921173
-duɾa,spanish,-duɾa,-3.6572981057388994,,
-ɔː,italian,-ɔː,-6.956662489770319,,
-o,spanish,-ʊm,-3.5066624897703194,-ʊma,-4.249809670330264
-vɔʁ,french,-vɔʁ,-5.320263536200091,,
-vɔro,italian,-vɔrʊm,-2.1525850929940455,-vɔrʊma,-2.5390573296152583
abbatʃinare,italian,abbatʃinare,-1.8094379124341002,,
ɐbɐtoɹ,portuguese,ɐbɐtoɹ,-1.8094379124341002,,
abakyl,french,abakyl,-2.562090881385444,,
ɐbakulʊ,portuguese,ɐbakulʊ,-2.6938430518031513,,
abaljenasjɔ̃,french,abalganasjɔ̃,-3.4598779657510077,abaljanasjɔ̃,-3.4598779657510077
abalienatsione,italian,abalienatsiʊmne,-4.549294740433386,abalienatsione,-4.553526655339967
ɐbɐliɨnɐsɐ̃ʊ̃,portuguese,ɐbɐliɨnɐsɐ̃ʊ̃,-4.72514616724308,,
abaljene,french,abalgana,-2.7389877822249478,abaljana,-2.7389877822249478
abalienare,italian,abalienarea,-3.7204740025152736,abalienare,-3.801058321315078
ɐbɐliɨnaɹ,portuguese,ɐbɐliɨnaɹ,-4.179099834889255,,
abalieta,italian,abalieta,-1.597119984885881,abalietaa,-1.7649030205422647
abatsje,romanian,abatsje,-5.7761011831127345,avatsje,-7.925491316533155
abaj,french,abaliia,-4.994254461735062,abaliis,-5.582041126637181
abbatsia,italian,abbatsia,-5.524891347282166,abbatsiaa,-6.119498550647889
aβaðia,spanish,aβaðia,-7.499692623711514,,
ɐbɐdiɐ,portuguese,ɐbɐdiɐ,-8.425056768615077,,
abatsjal,romanian,abatsjal,-4.026561526565717,avatsjal,-5.203323558307168
abasjal,french,abasjal,-3.4974582683471267,abasgal,-3.8747524994885945
aβaθjal,spanish,aβaθjal,-6.15594237366982,aβaθlial,-8.43335365143004
ɐbɐsiɑl,portuguese,ɐbɐsiɑl,-5.730930511039056,,
abʁevjasjɔ̃,french,abʁevjasliɔ̃,-4.410016032596665,abʁavjasliɔ̃,-4.5233659507320585
abbrevjatsione,italian,abbrevjatsiʊmne,-6.141639903646384,abbrevjatsione,-6.179767598452327
aβɾeβjaθjon,spanish,aβɾeβjaθjʊmn,-5.911145728808053,aβɾeβjaθliʊmn,-5.995680206830025
ɐbɹɨviɐsɐ̃ʊ̃,portuguese,ɐbɹɨviɐsɐ̃ʊ̃,-7.3947450422461225,,
abʁevje,french,abʁevjaa,-3.749137529384118,abʁavja,-3.761372649260199
abbrevjare,italian,abbrevjare,-4.756484614268997,abbrevjarea,-4.783033969676685
aβɾeβjaɾ,spanish,aβɾeβjaɾ,-5.550695825379747,aβɾeβliaɾ,-6.365301969921838
ɐbɹɨviaɹ,portuguese,ɐbɹɨviaɹ,-5.712046131876379,,
ɐbsizɐ̃ʊ̃,portuguese,ɐbsizɐ̃ʊ̃,-1.7094379124341001,,
abdomen,romanian,abdomen,-3.799970644480747,abdaʊmen,-3.9677536801371307
abdomɛn,french,abdomɛn,-4.088428025421464,abdaʊmɛn,-4.669056276483635
addɔme,italian,addɔmea,-4.14789110379335,addɔme,-4.416436151625465
abðomen,spanish,abðomen,-4.531189772990101,abðaʊmen,-4.698972808646484
ɐbdɔmeɪŋ,portuguese,ɐbdɔmeɪŋ,-5.235905821991951,,
abdutʃe,romanian,abdutʃe,-3.283414346005772,,
abðuθiɾ,spanish,abðuθiɾ,-3.3040336332085074,avðuθiɾ,-3.959498741316672
ɐbduziɹ,portuguese,ɐbduziɹ,-3.5540336332085074,,
abdyksjɔ̃,french,abdyksliɔ̃,-4.3482246927094925,abdyksjɔ̃,-4.480546249503448
abdutsione,italian,abdutsiʊmne,-4.391969670640915,abdutsiʊmnea,-4.401877475388989
abðukθjon,spanish,abðukθjʊmn,-4.361069842014334,abðukθliʊmn,-4.70705071728081
ɐbdusɐ̃ʊ̃,portuguese,ɐbdusɐ̃ʊ̃,-5.157694450099566,,
ɐbɨsɨdaɾjʊ,portuguese,ɐbɨsɨdaɾjʊ,-2.0094379124341,,
alunə,romanian,alunə,-7.2329593680072275,,
avlin,french,avlin,-6.400975742593067,,
aβeʎana,spanish,aβeʎana,-7.166281425134766,,
ɐvɨlɐ̃,portuguese,ɐvɨlɐ̃,-9.023567396880171,,
abɛʁe,french,abɛʁa,-3.7343102990381665,abɛʁaa,-3.9549358160689296
aberrare,italian,aberrare,-5.048212774097699,aberrarea,-5.088284062861302
aβeraɾ,spanish,aβeraɾ,-5.661127883742877,,
ɐbɨʁaɹ,portuguese,ɐbɨʁaɹ,-5.140642922276221,,
boɾɨ,romanian,baʊɾɨ,-9.20025495662911,vaʊɾɨ,-9.893402137189055
aboʁe,french,abaʊʁe,-5.76039377221568,abaʊʁaid,-5.796913250075711
aborrire,italian,abaʊrrire,-6.467962779713363,abaʊrrirea,-6.601856187843405
aβuriɾ,spanish,aβuriɾ,-10.660836296045812,,
ɐvuʁiɹ,portuguese,ɐvuʁiɹ,-7.764534815371208,,
abjettare,italian,abjeptarea,-3.129128590154817,abjectarea,-3.150868576791223
aβjektaɾ,spanish,aβjektaɾ,-3.723356734472876,aβlektaɾ,-4.045256764234998
ɐbʒɨtaɹ,portuguese,ɐbʒɨtaɹ,-3.868110383225729,,
aβjekθjon,spanish,aβjekθjʊmn,-3.770371548688866,aβjekθliʊmn,-3.8756342273639155
ɐbʒɨsɐ̃ʊ̃,portuguese,ɐbʒɨsɐ̃ʊ̃,-4.262023005428146,,
abi,french,abi,-3.680524338368775,,
abete,italian,abeteʊm,-4.29958336905621,abete,-4.42937735745093
aβeto,spanish,aβetʊm,-4.751573854700754,aβetʊma,-5.323030610721678
ɐbɛtʊ,portuguese,ɐbɛtʊ,-5.042852258439872,,
abidʒeato,italian,abidʒeatʊm,-2.07214406749281,abidʒeatʊma,-2.3833714123608205
aβixeato,spanish,aβixeatʊm,-2.5369019449063805,aβixeatʊma,-2.8652305534770224
ɐbiʒiatʊ,portuguese,ɐbiʒiatʊ,-3.155487356042663,,
aβixeo,spanish,aβixeʊm,-2.297681010039989,aβixeʊma,-2.5582048661324936
ɐbiʒiʊ,portuguese,ɐbiʒiʊ,-3.13119375241642,,
ɐbʒudikaɹ,portuguese,ɐbʒudikaɹ,-1.9594379124341001,,
ɐbʒũŋʒiɹ,portuguese,ɐbʒũŋʒiɹ,-1.9594379124341001,,
abʒyʁasjɔ̃,french,abʒyʁasjɔ̃,-4.0803721440963425,abʒyʁasliɔ̃,-4.130372144096342
aβxuɾaθjon,spanish,aβxuɾaθliʊmn,-4.901690201622984,aβxuɾaθjʊmn,-5.170143932741519
ɐbʒuɾɐsɐ̃ʊ̃,portuguese,ɐbʒuɾɐsɐ̃ʊ̃,-4.775786916351006,,
ɐbʒuɾəɡaɹ,portuguese,ɐbʒuɾəɡaɹ,-1.9594379124341001,,
abʒyʁe,french,abʒyʁa,-4.414380642998377,abʒyʁaa,-4.609141582475797
abjurare,italian,abjurare,-5.157799042549904,abjurarea,-5.271460917862247
aβxuɾaɾ,spanish,aβxuɾaɾ,-5.7388356905461695,,
ɐbʒuɾaɹ,portuguese,ɐbʒuɾaɹ,-4.534862886220234,,
ablaktasjɔ̃,french,ablaktasliɔ̃,-2.5766232940821947,ablaktasjɔ̃,-2.677283568969685
ɐblɐtɐsɐ̃ʊ̃,portuguese,ɐblɐtɐsɐ̃ʊ̃,-2.733975365145907,,
aβlaktaɾ,spanish,aβlaktaɾ,-2.959260036932778,,
ɐblɐtaɹ,portuguese,ɐblɐtaɹ,-2.5625593586425333,,
ablakweatsione,italian,ablakweatsione,-4.136919715183225,ablakweatsionea,-4.203932473528075
aβlakeaθjon,spanish,aβlakeaθjʊmn,-3.6053944062559578,aβlakeaθliʊmn,-3.766684328167225
ɐblɐkeɐsɐ̃ʊ̃,portuguese,ɐblɐkeɐsɐ̃ʊ̃,-3.974006579420702,,
ɐblɐtoɹ,portuguese,ɐblɐtoɹ,-1.7068932485848132,,
ableɡatsione,italian,ableɡatsione,-2.6192547023190786,ableɡatsionea,-2.6393027446063146
ɐblɨɡɐsɐ̃ʊ̃,portuguese,ɐblɨɡɐsɐ̃ʊ̃,-2.687455349511014,,
ɐblɨɡaɹ,portuguese,ɐblɨɡaɹ,-1.7068932485848132,,
ɐblɨpsiɐ,portuguese,ɐblɨpsiɐ,-1.7373994539038122,,
ablye,french,ablya,-2.3937126819141947,ablyaia,-2.4378305924338513
ɐbluiɹ,portuguese,ɐbluiɹ,-2.64234090739703,,
ɐblutʊ,portuguese,ɐblutʊ,-1.683490561104079,,
abneɡe,french,abnaɡa,-2.678001757123127,abneɡaa,-2.859583197878571
abneɡare,italian,abneɡare,-3.566608233173483,abneɡarea,-3.633692834585128
abneɣaɾ,spanish,abneɣaɾ,-3.5238948169732582,avneɣaɾ,-4.578959913737189
ɐbnɨɡaɹ,portuguese,ɐbnɨɡaɹ,-3.6699590203627794,,
abnorm,romanian,abnorm,-1.8959101490553132,abnaʊrm,-1.9459101490553132
abnɔrme,italian,abnɔrmea,-1.9129729343043584,abnɔrme,-1.9459101490553132
abnwiɾ,spanish,abnwiɾ,-2.2525850929940456,avnwiɾ,-2.90805020110221
ɐbnuiɹ,portuguese,ɐbnuiɹ,-2.5025850929940456,,
abolisjɔ̃,french,abaʊlisliɔ̃,-5.22444927759906,abolisjɔ̃,-5.272085276405125
abolitsione,italian,abaʊlitsiʊmne,-5.195238290589687,abolitsiʊmne,-5.306448389693811
aβoliθjon,spanish,aβaʊliθliʊmn,-5.972805240833872,aβaʊliθjʊmn,-6.128174457077577
ɐbulisɐ̃ʊ̃,portuguese,ɐbulisɐ̃ʊ̃,-7.042171649012775,,
abɔmazo,italian,abɔmazʊm,-2.2551758456345565,abɔmazʊma,-2.6785929707163625
aβomaso,spanish,aβomasʊm,-2.982136955447791,aβaʊmasʊm,-2.9920169616583654
ɐbumazʊ,portuguese,ɐbumazʊ,-3.165940774824814,,
abominasjɔ̃,french,abominasjɔ̃,-3.4505511119846037,abominasliɔ̃,-3.5005511119846036
abominatsione,italian,abominatsiʊmne,-4.12707905320849,abominatsione,-4.159885870395777
aβominaθjon,spanish,aβominaθjʊmn,-4.1262076058548836,aβaʊminaθjʊmn,-4.200316939391219
ɐbuminɐsɐ̃ʊ̃,portuguese,ɐbuminɐsɐ̃ʊ̃,-4.635647441579707,,
abomine,french,abomina,-2.5593846970780953,abaʊminaa,-2.588253803634058
abominare,italian,abaʊminarea,-3.154172696131745,abaʊminare,-3.166759893271351
aβominaɾ,spanish,aβaʊminaɾ,-3.4026554209536117,aβominaɾ,-3.4488834530481656
ɐbuminaɹ,portuguese,ɐbuminaɹ,-3.4019264699603946,,
abradere,italian,abraderea,-1.2272209480904839,abradereʊm,-1.277220948090484
ɐbɹɨnũŋsiɐsɐ̃ʊ̃,portuguese,ɐbɹɨnũŋsiɐsɐ̃ʊ̃,-3.1094379124341005,,
aβɾoɣaθjon,spanish,aβɾʊmɣaθjʊmn,-3.3888331171946646,aβɾaʊɣaθliʊmn,-3.5421790317990123
abʁuɡɐsɐ̃ʊ̃,portuguese,abʁuɡɐsɐ̃ʊ̃,-3.7690782543013155,,
abroɡa,romanian,abroɡa,-4.130799897492474,abraʊɡa,-4.180799897492474
abʁoʒe,french,abʁaʊʒaa,-4.6078853258111705,abʁoʒaa,-4.640577041656284
abroɡare,italian,abraʊɡare,-4.714618252152742,abroɡare,-4.771101732555192
aβɾoɣaɾ,spanish,aβɾaʊɣaɾ,-6.201743550803908,aβɾoɣaɾ,-6.387572261645434
abʁuɡaɹ,portuguese,abʁuɡaɹ,-4.412081367448822,,
oʁɔn,french,oʁɔn,-6.640511383694171,aʊʁɔn,-6.6905113836941705
abrotano,italian,abrʊmtanʊm,-4.2605307016459175,abrotanʊm,-4.310791386610099
aβɾotano,spanish,aβɾʊmtanʊm,-5.048212774097699,aβɾotanʊm,-5.117891544918981
ɐbɹɔtɐnʊ,portuguese,ɐbɹɔtɐnʊ,-5.3553711879376475,,
abʁɔ̃pʁ,french,abʁɔ̃pʁ,-1.7068932485848132,,
ɐbɹupsɐ̃ʊ̃,portuguese,ɐbɹupsɐ̃ʊ̃,-1.7594379124341002,,
absis,french,absis,-1.631572629867298,,
aβsθisa,spanish,aβsθisa,-2.2463877156524386,,
ɐbsisɐ,portuguese,ɐbsisɐ,-1.5594379124341002,,
askunde,romanian,askunde,-4.270485259940974,,
abskɔ̃dʁ,french,abskɔ̃dʁ,-6.226101032516426,,
askondere,italian,askʊmndere,-5.4696029110043884,askaʊndere,-5.505984089158203
eskondeɾ,spanish,eskaʊndeɾ,-4.907665229747263,eskʊmndeɾ,-4.984101706333339
ʃkuŋdeɹ,portuguese,ʃkuŋdeɹ,-8.320906088787817,,
askuns,romanian,askuns,-4.284507118705905,,
abskɔ̃,french,abskɔ̃,-5.160110343200863,,
askozo,italian,askʊmzʊm,-4.37754714997569,askozʊm,-4.582874360322165
eskuso,spanish,eskusʊm,-3.9785987722215417,eskusʊma,-4.486577394522479
aʊsentaɾ,spanish,aʊsentaɾ,-2.0161128563728328,,
absolysjɔ̃,french,absolysjɔ̃,-4.255512572789715,absolysliɔ̃,-4.3055125727897146
assolutsione,italian,assolutsiʊmne,-5.206570300429821,assolutsione,-5.291756346314537
aβsoluθjon,spanish,aβsoluθliʊmn,-4.71710980192526,aβsaʊluθjʊmn,-4.7890223835155465
ɐbsulusɐ̃ʊ̃,portuguese,ɐbsulusɐ̃ʊ̃,-4.5025003638620875,,
absolvʲi,romanian,absolvʲi,-4.84130930128107,absaʊlvʲi,-4.851189307491645
absudʁ,french,absudʁ,-5.775095281279045,,
assolvere,italian,assolvere,-6.156385454589911,assaʊlvere,-6.178327501794754
aβsolβeɾ,spanish,aβsaʊlβeɾ,-5.93303475323955,aβsolβeɾ,-5.965726469084664
ɐbsulveɹ,portuguese,ɐbsulveɹ,-5.343295361463371,,
absɔʁpsjɔ̃,french,absɔʁpsjɔ̃,-3.776304922826066,absɔʁpsliɔ̃,-3.826304922826066
aβsoɾθjon,spanish,aβsaʊɾθliʊmn,-4.844769911370302,aβsʊmɾθliʊmn,-4.8506350308227
ɐbsuɾəsɐ̃ʊ̃,portuguese,ɐbsuɾəsɐ̃ʊ̃,-4.2828407377406155,,
astemio,italian,astemiʊm,-2.7382918879727867,astemioʊm,-3.0933573819728055
aβstemjo,spanish,aβstemjʊm,-2.3080151216086384,aβstemjʊma,-2.661519295080067
ɐbstɛmjʊ,portuguese,ɐbstɛmjʊ,-3.151092789211817,,
abstɛʁʒe,french,abstɛʁʒa,-3.570662870539974,abstɛʁʒe,-3.5800205588238985
astɛrdʒere,italian,astɛrdʒerea,-4.750294956871294,astɛrdʒereʊm,-4.916213116110806
aβsteɾxeɾ,spanish,aβsteɾxeɾ,-5.172620803464922,,
ɐbstɨɾəʒeɹ,portuguese,ɐbstɨɾəʒeɹ,-4.625586281439899,,
abtsine,romanian,abtsine,-5.093592400757845,avtsine,-5.824565061374154
abstniʁ,french,abstniʁ,-5.000302259976886,,
astenere,italian,astenere,-5.917114093424936,astenerea,-6.0713412978919905
aβsteneɾ,spanish,aβsteneɾ,-5.044746566121212,,
ɐbsteɹ,portuguese,ɐbsteɹ,-5.783993687556553,,
abstradʒe,romanian,abstradʒe,-5.201457288616511,avstradʒe,-6.072283807596829
abstʁɛʁ,french,abstʁɛʁ,-5.384003453932221,,
astrarre,italian,astrarrea,-6.401678545945688,astrarreɛm,-6.408569382048872
aβstɾaeɾ,spanish,aβstɾaeɾ,-5.605619704266034,,
ɐbstɹɐiɹ,portuguese,ɐbstɹɐiɹ,-7.3222938001197075,,
ɐbstɹuiɹ,portuguese,ɐbstɹuiɹ,-1.9594379124341001,,
ɐbstɹuzɐ̃ʊ̃,portuguese,ɐbstɹuzɐ̃ʊ̃,-2.1094379124341,,
abstʁy,french,abstʁy,-2.6862535295994467,,
astruzo,italian,astruzʊm,-3.052407217492723,astruzʊma,-3.318630325962359
absurditate,romanian,absurditate,-4.000008748402049,absurdlitate,-4.650982949410634
absyʁdite,french,absyʁdita,-3.821705749480514,absyʁditaid,-4.0701202420083415
assurdita,italian,assurdita,-3.9981165301275468,assurditaa,-4.249705077879927
aβsuɾðiðad,spanish,aβsuɾðiðad,-5.129651743092696,,
ɐbsuɾədidadɨ,portuguese,ɐbsuɾədidadɨ,-4.996669748261791,,
aβundantisimo,spanish,aβundantisimʊm,-2.0094379124341004,aβundantisimo,-2.271956841931875
ɐbuzɐ̃ʊ̃,portuguese,ɐbuzɐ̃ʊ̃,-1.9094379124341003,,
abuziv,romanian,abuziv,-3.3260071328335967,avuziv,-4.124573084582434
abyzif,french,abyzif,-3.845079631750201,,
aβusiβo,spanish,aβusiβʊm,-4.7624250093272575,aβusiβʊma,-5.2160406888083495
ɐbuzivʊ,portuguese,ɐbuzivʊ,-4.1086618796328915,,
abuza,romanian,abuza,-2.3321581732559316,avuza,-3.46070857714724
abyze,french,abyza,-2.797863361741453,abyzaa,-3.200810435566171
abuzare,italian,abuzare,-3.4947234396729785,abuzarea,-3.682753496813638
ɐbuzaɹ,portuguese,ɐbuzaɹ,-3.4676659890376325,,
abim,french,abim,-3.762023005428146,,
