true_form	predicted_form	edit_distance	normalized_edit_distance	correct_chars	consonant_errors	vowel_errors	phonotactic_valid	char_error_rate	feature_distance	normalized_feature_distance	exact_match
-ɛʊm	ɛo	3	0.75	1	1	1	True	0.5	2.2	0.11000000000000001	0
-fɪkɪʊm	fidʃo	6	0.8571428571428571	1	2	3	True	0.7142857142857143	3.7	0.10571428571428572	0
-formɛm	forme	3	0.42857142857142855	4	1	1	False	0.2857142857142857	2.2	0.06285714285714286	0
-ɪbɪlɛm	evole	6	0.8571428571428571	1	2	3	True	0.7142857142857143	3.05	0.08714285714285713	0
-ɪkʊm	iko	4	0.8	1	1	2	True	0.6	2.2	0.08800000000000001	0
-ɪfɪkɪʊm	ifidʃo	7	0.875	1	2	4	True	0.75	3.7	0.0925	0
-ɪfɪkarɛ	ifikare	4	0.5	4	0	3	True	0.375	1.2	0.03	0
-ɪlɛm	il	4	0.8	1	1	2	True	0.6	3.0	0.12	0
-ɪllʊm	iʎo	6	1.0	0	3	2	True	0.8333333333333334	4.2	0.14	0
-inʊm	in	3	0.6	2	1	1	True	0.4	3	0.12	0
-jonɛm	io	5	0.8333333333333334	1	3	1	True	0.6666666666666666	5.0	0.16666666666666666	0
-ɪskʊm	esk	4	0.6666666666666666	2	1	2	True	0.5	3.0	0.1	0
-ɪssɪmʊm	is	7	0.875	1	3	3	True	0.75	6.0	0.15	0
-ɪstam	ista	3	0.5	3	1	1	True	0.3333333333333333	2.0	0.06666666666666667	0
-ɪtatɛm	ita	5	0.7142857142857143	2	2	2	True	0.5714285714285714	4.0	0.11428571428571428	0
-iten	it	3	0.6	2	1	1	True	0.4	3	0.12	0
-ɪtɪam	itsje	5	0.8333333333333334	1	1	3	False	0.6666666666666666	4.0	0.13333333333333333	0
-iwʊm	ivo	4	0.8	1	2	1	True	0.6	2.45	0.098	0
-mɛntʊm	ment	4	0.5714285714285714	3	1	2	True	0.42857142857142855	3.2	0.09142857142857143	0
-ɔlʊm	olo	4	0.8	1	1	2	True	0.6	2.2	0.08800000000000001	0
-orɛm	œʁ	5	1.0	0	2	2	True	0.8	3.7	0.14800000000000002	0
-osʊm	os	3	0.6	2	1	1	True	0.4	3	0.12	0
-tatɛm	dad	5	0.8333333333333334	1	3	1	True	0.6666666666666666	3.5	0.11666666666666667	0
-tɪonɛm	tsione	5	0.7142857142857143	3	1	2	False	0.5714285714285714	1.95	0.055714285714285716	0
-torɛm	ðœʁ	6	1.0	0	3	2	True	0.8333333333333334	3.95	0.13166666666666668	0
-torɪʊm	tojo	5	0.7142857142857143	2	2	2	True	0.5714285714285714	3.7	0.10571428571428572	0
-trikɛm	ðɾiθ	6	0.8571428571428571	1	4	1	True	0.7142857142857143	4.6	0.13142857142857142	0
-tudɪnɛm	iduʤne	6	0.75	2	3	2	True	0.75	4.2	0.10500000000000001	0
-turam	ðura	3	0.5	3	2	0	True	0.3333333333333333	2.5	0.08333333333333333	0
-ʊlʊm	welo	4	0.8	1	1	2	True	0.8	2.3499999999999996	0.09399999999999999	0
-ʊm	ɔ	3	1.0	0	1	1	True	0.6666666666666666	2.2	0.14666666666666667	0
-wɔrʊm	vɔro	4	0.6666666666666666	2	2	1	True	0.5	2.45	0.08166666666666668	0
abakɪnarɛ	abbatʃinare	5	0.45454545454545453	6	1	2	False	0.5555555555555556	2.45	0.05444444444444445	0
abaktorɛm	ɐβɐtoɹ	7	0.7777777777777778	2	4	3	True	0.7777777777777778	4.4	0.09777777777777778	0
abakʊlʊm	abakyl	3	0.375	5	1	2	True	0.375	2.2	0.05500000000000001	0
abalɪenatɪonɛm	abalienatsione	5	0.35714285714285715	10	1	3	False	0.35714285714285715	2.2	0.03142857142857143	0
abalɪenarɛ	abaljene	4	0.4	6	1	3	True	0.4	3.2	0.064	0
abalɪɛtatɛm	abalieta	5	0.45454545454545453	6	2	3	True	0.45454545454545453	3.2	0.05818181818181818	0
abbatɪam	abat	4	0.5	4	2	2	True	0.5	4	0.1	0
abbatɪalɛm	abatsjal	5	0.5	6	2	2	False	0.5	4.4	0.08800000000000001	0
abbrɛwɪatɪonɛm	abbrevjatsione	7	0.5	8	2	4	False	0.5	3.6500000000000004	0.05214285714285715	0
abbrɛwɪarɛ	aβɾeβjaɾ	8	0.8	2	5	3	True	0.8	6.1000000000000005	0.12200000000000001	0
abkɪsɪonɛm	ɐβzizɐʊ	10	1.0	0	5	5	True	1.0	5.55	0.111	0
abdomɛn	abdome	2	0.2857142857142857	5	1	1	True	0.2857142857142857	1.2	0.03428571428571429	0
abdukɛrɛ	abdudʃe	4	0.5	4	2	2	True	0.5	2.45	0.061250000000000006	0
abdʊktɪonɛm	abdyɣzjo	7	0.6363636363636364	4	4	3	True	0.6363636363636364	5.2	0.09454545454545454	0
abɛkɛdarɪʊm	ɐβɨzɨdaɾjʊ	8	0.7272727272727273	3	4	4	True	0.7272727272727273	5.5	0.1	0
abɛllanam	avlin	6	0.6666666666666666	3	3	3	True	0.6666666666666666	4.65	0.10333333333333335	0
abɛrrarɛ	aberrare	2	0.25	6	0	2	True	0.25	0.3999999999999999	0.009999999999999998	0
abhɔrrerɛ	boɾɨ	8	0.8888888888888888	1	4	4	True	0.8888888888888888	5.800000000000001	0.12888888888888891	0
abɪkɛrɛ	abjettare	6	0.6666666666666666	3	1	3	False	0.8571428571428571	2.8499999999999996	0.08142857142857142	0
abɪɛktɪonɛm	ɐβʒɨzɐʊ	11	1.0	0	5	6	True	1.0	7.300000000000001	0.13272727272727275	0
abɪetɛm	aβeto	4	0.5714285714285714	3	2	2	True	0.5714285714285714	3.35	0.09571428571428571	0
abɪɡɛatʊm	ɐβiʒiatʊ	6	0.6666666666666666	3	3	3	True	0.6666666666666666	2.9	0.06444444444444444	0
abɪɡɛʊm	aβixeo	6	0.8571428571428571	1	3	3	True	0.8571428571428571	2.65	0.0757142857142857	0
abɪudɪkarɛ	ɐβʒuʤɣaɹ	8	0.8	2	4	4	True	0.8	5.45	0.109	0
abɪʊŋɡɛrɛ	ɐβʒuŋʒiɹ	8	0.8888888888888888	1	3	5	True	0.8888888888888888	4.55	0.10111111111111111	0
abɪuratɪonɛm	abʒyʁazjo	8	0.6666666666666666	4	4	4	True	0.6666666666666666	6.4	0.10666666666666667	0
abɪurɡarɛ	ɐβʒuɾəɡaɹ	7	0.7777777777777778	3	3	3	True	0.7777777777777778	4.75	0.10555555555555556	0
abɪurarɛ	ɐβʒuɾaɹ	6	0.75	2	3	3	True	0.75	4.2	0.10500000000000001	0
ablaktatɪonɛm	ɐblɐðɐzɐʊ	11	0.8461538461538461	2	5	6	True	0.8461538461538461	6.199999999999999	0.09538461538461537	0
ablaktarɛ	ɐβlɐtaɹ	6	0.6666666666666666	3	3	3	True	0.6666666666666666	3.4	0.07555555555555556	0
ablakwɛatɪonɛm	ɐβlɐɣeɐzɐʊ	13	0.9285714285714286	1	6	7	True	0.9285714285714286	7.1499999999999995	0.10214285714285713	0
ablatorɛm	ɐblɐðoɹ	6	0.6666666666666666	3	3	3	True	0.6666666666666666	3.15	0.06999999999999999	0
ableɡatɪonɛm	ableɡatsione	4	0.3333333333333333	9	1	2	False	0.3333333333333333	2.2	0.03666666666666667	0
ableɡarɛ	ɐblɨɡaɹ	4	0.5	4	1	3	True	0.5	1.65	0.041249999999999995	0
ablɛpsɪam	ɐblɨbsiɐ	6	0.6666666666666666	3	2	4	False	0.6666666666666666	2.05	0.04555555555555555	0
ablʊɛrɛ	ablye	4	0.5714285714285714	3	1	3	True	0.5714285714285714	2.4	0.06857142857142857	0
ablutorɛm	ɐβludʊ	7	0.7777777777777778	2	4	3	True	0.7777777777777778	4.4	0.09777777777777778	0
abnɛɡarɛ	abneɡare	2	0.25	6	0	2	False	0.25	0.3999999999999999	0.009999999999999998	0
abnormɛm	abnorm	2	0.25	6	1	1	False	0.25	2	0.05	0
abnʊɛrɛ	ɐβnuiɹ	6	0.8571428571428571	1	2	4	True	0.8571428571428571	2.8	0.08	0
abɔlɪtɪonɛm	ɐβulizɐʊ	10	0.9090909090909091	1	4	6	True	0.9090909090909091	5.25	0.09545454545454546	0
abɔmasʊm	aβomazo	5	0.625	3	3	2	True	0.625	2.2	0.05500000000000001	0
abomɪnatɪonɛm	abominazjo	6	0.46153846153846156	7	3	3	True	0.46153846153846156	4.5	0.06923076923076923	0
abomɪnarɛ	abomine	4	0.4444444444444444	5	1	3	True	0.4444444444444444	2.2	0.04888888888888889	0
abomɪnari	abominare	2	0.2222222222222222	7	0	2	True	0.2222222222222222	0.0	0.0	0
abradɛrɛ	abradere	2	0.25	6	0	2	True	0.25	0.3999999999999999	0.009999999999999998	0
abrɛnʊntɪatɪonɛm	ɐβɹɨnuŋziɐzɐʊ	15	0.9375	1	7	8	True	0.9375	7.300000000000001	0.09125000000000001	0
abrɔɡatɪonɛm	abʁuɡɐzɐʊ	9	0.75	3	4	5	True	0.75	5.0	0.08333333333333333	0
abrɔɡarɛ	abroɡa	3	0.375	5	1	2	True	0.375	2.0	0.05	0
abrɔtɔnʊm	abrotano	4	0.4444444444444444	5	1	3	True	0.4444444444444444	1.7999999999999998	0.039999999999999994	0
abrʊmpɛrɛ	abʁobʁ	7	0.7777777777777778	2	4	3	True	0.7777777777777778	4.45	0.09888888888888889	0
abrʊptɪonɛm	ɐbɹubsɐʊ	10	0.9090909090909091	1	5	5	False	0.9090909090909091	4.95	0.09	0
abskɪndɛrɛ	absis	7	0.7	3	4	3	False	0.7	5.5	0.11	0
abskɪssam	ɐbsisɐ	6	0.6666666666666666	3	3	3	False	0.6666666666666666	3.4000000000000004	0.07555555555555557	0
abskɔndɛrɛ	asgondere	5	0.5	5	2	3	False	0.5	1.65	0.033	0
abskɔnsʊm	asgozo	7	0.7777777777777778	2	5	2	True	0.7777777777777778	3.7	0.08222222222222222	0
absɛntarɛ	aʊsentaɾ	4	0.4444444444444444	5	2	2	True	0.4444444444444444	2.6	0.05777777777777778	0
absɔlutɪonɛm	absolysjo	7	0.5833333333333334	5	3	4	False	0.5833333333333334	4.65	0.0775	0
absɔlwɛrɛ	absuðʁ	6	0.6666666666666666	3	3	3	False	0.6666666666666666	3.95	0.08777777777777779	0
absɔrptɪonɛm	aβzoʁβzjo	10	0.8333333333333334	2	7	3	True	0.8333333333333334	6.5	0.10833333333333334	0
abstemɪʊm	ɐβstemjʊ	4	0.4444444444444444	5	2	2	True	0.4444444444444444	2.95	0.06555555555555556	0
abstɛrɡerɛ	ɐβstɨɾəʒeɹ	8	0.8	3	4	3	True	0.8	5.25	0.105	0
abstɪnerɛ	atsine	5	0.5555555555555556	4	3	2	False	0.5555555555555556	3.5	0.07777777777777778	0
abstrahɛrɛ	abstʁeʁ	6	0.6	4	3	3	False	0.6	4.2	0.084	0
abstrudɛrɛ	ɐβstɹuiɹ	7	0.7	3	4	3	True	0.7	3.6500000000000004	0.07300000000000001	0
abstrusɪonɛm	ɐβzðɹuzɐʊ	11	0.9166666666666666	1	7	4	True	0.9166666666666666	5.8	0.09666666666666666	0
abstrusʊm	abstʁy	5	0.5555555555555556	4	3	2	False	0.5555555555555556	3.7	0.08222222222222222	0
absʊrdɪtatɛm	assurʤda	8	0.6666666666666666	5	4	3	False	0.6666666666666666	6.15	0.10250000000000001	0
abʊndantɪssɪmʊm	aβundanʤzimo	9	0.6	6	5	4	False	0.6	5.1	0.06799999999999999	0
abusɪonɛm	ɐbuzɐʊ	7	0.7777777777777778	2	3	4	True	0.7777777777777778	4.05	0.09	0
abusiwʊm	ɐbuziv	5	0.625	3	3	2	True	0.625	2.7	0.0675	0
abuti	abyze	3	0.6	2	1	2	True	0.6	0.9	0.036000000000000004	0
abyssʊm	aβismo	5	0.7142857142857143	3	2	2	True	0.7142857142857143	2.9	0.08285714285714285	0
akademiam	aɣademi	3	0.3333333333333333	6	2	1	True	0.3333333333333333	2.5	0.05555555555555555	0
akantʰʊm	agandə	5	0.625	3	4	1	False	0.625	2.9	0.0725	0
akatalepsɪam	ɐɣɐðɐlɨbsiɐ	10	0.8333333333333334	2	4	6	False	0.8333333333333334	3.25	0.05416666666666667	0
akkapɪtarɛ	akalðaɾ	6	0.6	4	4	2	True	0.6	4.65	0.09300000000000001	0
akkedɛrɛ	atʃʃedere	5	0.5555555555555556	4	2	2	True	0.625	2.15	0.05375	0
akkɛlɛratorɪʊm	ɐzɨleɾɐtoɾjʊ	10	0.7142857142857143	4	5	5	True	0.7142857142857143	6.75	0.09642857142857143	0
akkɛndɛrɛ	adʃʃendere	6	0.6	4	2	3	False	0.6666666666666666	2.6000000000000005	0.05777777777777779	0
akkɛntʊm	aktʃent	5	0.625	4	2	2	True	0.625	3.45	0.08625000000000001	0
akkɛptɪonɛm	atʃʃetsione	8	0.7272727272727273	4	4	3	False	0.7272727272727273	3.6500000000000004	0.06636363636363637	0
akkɛssɪonɛm	atʃʃession	7	0.6363636363636364	5	3	3	False	0.6363636363636364	3.95	0.07181818181818182	0
akkɛssorɪʊm	atʃʃessorio	7	0.6363636363636364	5	3	3	False	0.6363636363636364	3.15	0.057272727272727274	0
akkɛssʊm	agθeso	6	0.75	2	4	2	True	0.75	3.15	0.07875	0
akkɪdɛntɛm	ɐzideɪŋdɨ	9	0.9	1	5	4	True	0.9	5.3	0.106	0
akkɪdɛntɪam	ɐzideɪŋzjɐ	10	0.9090909090909091	1	5	5	True	0.9090909090909091	6.3500000000000005	0.11545454545454546	0
akkɪpɛrɛ	aɣzede	7	0.875	1	4	3	True	0.875	3.7	0.0925	0
astʊrɛm	otuʁ	6	0.8571428571428571	1	3	3	True	0.8571428571428571	4.5	0.12857142857142856	0
akklararɛ	ɐklɐɾaɹ	6	0.6666666666666666	3	3	3	True	0.6666666666666666	3.65	0.0811111111111111	0
akklinɛm	aɣɣline	4	0.5	4	3	1	True	0.5	2.2	0.05500000000000001	0
akkliwɪtatɛm	ɐɣlividadɨ	9	0.75	3	6	3	True	0.75	3.85	0.06416666666666666	0
akkɔmmɔdatɪonɛm	aɣɣomodadzione	10	0.6666666666666666	6	5	4	False	0.6666666666666666	4.45	0.059333333333333335	0
akkɔŋkɪlɪarɛ	agonsexaɾ	10	0.8333333333333334	2	6	4	True	0.8333333333333334	5.4	0.09000000000000001	0
akkreskɛrɛ	aɣɣreʃere	6	0.6	4	4	2	True	0.6	2.6500000000000004	0.053000000000000005	0
akkretɪonɛm	akretsje	6	0.5454545454545454	5	3	3	False	0.5454545454545454	4.7	0.08545454545454546	0
akkʊbɪtʊm	ɐɣubitʊ	6	0.6666666666666666	3	3	3	True	0.6666666666666666	3.1	0.06888888888888889	0
akkʊmʊlatɪonɛm	aɣɣulatsione	9	0.6428571428571429	6	4	4	False	0.6428571428571429	5.45	0.07785714285714286	0
akkurarɛ	akuɾaɾ	4	0.5	4	3	1	True	0.5	3.4	0.08499999999999999	0
akkʊrrɛrɛ	aɣɣorrere	5	0.5555555555555556	4	2	3	True	0.5555555555555556	1.5999999999999999	0.035555555555555556	0
akkusabɪlɛm	aɣɣuzabile	6	0.5454545454545454	5	4	2	True	0.5454545454545454	2.45	0.04454545454545455	0
akkusantɛm	ɐɣuzɐŋðɨ	9	0.9	1	6	3	True	0.9	4.55	0.091	0
akkusatɪonɛm	aɣɣuzatzione	7	0.5833333333333334	6	4	2	True	0.5833333333333334	3.45	0.0575	0
akkusatorɛm	akuzətor	5	0.45454545454545453	6	3	2	True	0.45454545454545453	3.65	0.06636363636363636	0
akkusatorɪʊm	aɣɣuzatorio	6	0.5	6	4	2	True	0.5	2.45	0.04083333333333334	0
akkusatrikɛm	aɣɣuzatritʃe	6	0.5	6	5	1	True	0.5	3.5	0.058333333333333334	0
akkusarɛ	akuza	4	0.5	4	3	1	True	0.5	3.25	0.08125	0
akedɪam	adʃʃiʤa	6	0.8571428571428571	2	3	2	True	0.8571428571428571	4.25	0.12142857142857143	0
akɛpʰalʊm	ɐzefɐlʊ	7	0.7777777777777778	2	4	3	True	0.7777777777777778	3.5999999999999996	0.07999999999999999	0
akrɛm	atʃero	5	0.8333333333333334	2	2	1	True	1.0	2.7	0.10800000000000001	0
akɛrbɪtatɛm	aθeɾβiðad	9	0.8181818181818182	2	6	3	True	0.8181818181818182	5.2	0.09454545454545454	0
akɛrbʊm	aseʁβ	6	0.8571428571428571	1	4	2	True	0.8571428571428571	3.95	0.11285714285714286	0
akɛrnɪam	ðʃernia	5	0.625	3	2	3	False	0.625	2.7	0.0675	0
akɛrwatɪonɛm	ɐzɨɾəvɐzɐʊ	12	1.0	0	6	6	True	1.0	7.550000000000001	0.12583333333333335	0
akɛrwarɛ	aθeɾβaɾ	6	0.75	2	4	2	True	0.75	3.85	0.09625	0
akɛrwʊm	ɐzeɾəvʊ	7	1.0	1	4	2	True	1.0	4.4	0.12571428571428572	0
aketabʊlʊm	ɐzɨdabulʊ	6	0.6	4	3	3	True	0.6	2.8	0.055999999999999994	0
aketʊm	otset	5	0.8333333333333334	2	2	2	False	0.8333333333333334	3.25	0.10833333333333334	0
akʰaten	aɡata	4	0.5714285714285714	3	3	1	True	0.5714285714285714	2.4	0.06857142857142857	0
akɪam	atsə	4	0.8	1	2	2	False	0.8	2.65	0.106	0
akɪkʊlam	ɐziɣulɐ	7	0.875	1	3	4	True	0.875	3.05	0.07625	0
akɪdɪtatɛm	adʃiʤda	8	0.8	2	4	4	True	0.8	5.4	0.10800000000000001	0
akɪɛm	asje	4	0.8	1	2	2	True	0.8	2.7	0.10800000000000001	0
akɪnʊm	atʃino	5	0.8333333333333334	2	2	2	True	0.8333333333333334	2.45	0.08166666666666668	0
akɔnitʊm	ɐɣonitʊ	4	0.5	4	2	2	True	0.5	1.7	0.042499999999999996	0
akkwɪeskɛrɛ	aɣjese	8	0.7272727272727273	3	5	3	True	0.7272727272727273	5.95	0.10818181818181818	0
akkwirɛrɛ	ɐðɣiɾiɹ	8	0.8888888888888888	1	5	3	True	0.8888888888888888	4.9	0.1088888888888889	0
akkwɪsitɪonɛm	aðɣiziθjon	9	0.6923076923076923	4	6	3	True	0.6923076923076923	5.75	0.08846153846153847	0
akrɪmonɪam	akɾimonja	4	0.4	6	2	2	True	0.4	3.0	0.06	0
akrɪtatɛm	ɐɣɹidadɨ	8	0.8888888888888888	1	5	3	True	0.8888888888888888	2.85	0.06333333333333334	0
akrɪtudɪnɛm	aɣɾidud	8	0.7272727272727273	3	5	3	True	0.7272727272727273	5.75	0.10454545454545454	0
akrɔama	ɐkɹuɐmɐ	5	0.7142857142857143	2	1	4	True	0.7142857142857143	1.0499999999999998	0.029999999999999995	0
akta	atɐ	2	0.5	2	1	1	True	0.5	1.2	0.06	0
aktaɪam	ɐdeɪɐ	6	0.8571428571428571	1	3	3	True	0.8571428571428571	3.05	0.08714285714285713	0
aktiwʊm	attivo	4	0.5714285714285714	3	3	1	False	0.5714285714285714	1.7	0.04857142857142857	0
aktorɛm	attore	3	0.42857142857142855	4	2	1	False	0.42857142857142855	1.45	0.041428571428571426	0
aktrikɛm	attritʃe	4	0.5	4	3	1	False	0.5	2.5	0.0625	0
aktʊalɛm	ɐðuɑl	7	0.875	1	3	4	True	0.875	4.3	0.1075	0
aktʊarɪʊm	attyeʁ	7	0.7777777777777778	2	3	4	False	0.7777777777777778	3.95	0.08777777777777779	0
aktʊarɛ	attuare	3	0.42857142857142855	4	1	2	False	0.42857142857142855	0.85	0.024285714285714285	0
aktʊm	akt	2	0.4	3	1	1	True	0.4	2	0.08	0
akʊarɪʊm	akar	4	0.5	4	1	3	True	0.5	4	0.1	0
akʊlɛʊm	ɐkuliʊ	4	0.5714285714285714	3	1	3	True	0.5714285714285714	1.7999999999999998	0.05142857142857142	0
akumɛn	aɣe	5	0.8333333333333334	1	3	2	True	0.8333333333333334	3.7	0.12333333333333334	0
akumɪnarɛ	ɐɣinaɹ	7	0.7777777777777778	2	3	4	True	0.7777777777777778	3.95	0.08777777777777779	0
akʊm	aɡo	3	0.75	1	2	1	True	0.75	1.7	0.08499999999999999	0
adaɪkwatɪonɛm	aðekwaθjon	7	0.5384615384615384	6	3	4	True	0.5384615384615384	4.5	0.06923076923076923	0
adaɪkwarɛ	aðekwaɾ	5	0.5555555555555556	4	2	3	True	0.5555555555555556	2.65	0.058888888888888886	0
adamantɛm	ðjamant	4	0.4444444444444444	5	2	2	True	0.4444444444444444	3.5	0.07777777777777778	0
adamarɛ	aðamaɾ	3	0.42857142857142855	4	2	1	True	0.42857142857142855	1.65	0.04714285714285714	0
adaʊɡerɛ	adəwɡa	5	0.625	3	1	4	True	0.625	3.8	0.095	0
addɛkɪmarɛ	addedʃimare	5	0.45454545454545453	6	1	3	False	0.5	1.9	0.038	0
addikɛrɛ	aðikaɾ	5	0.625	3	3	2	True	0.625	3.05	0.07625	0
addɪktɪonɛm	aʤɣtsie	9	0.8181818181818182	2	5	4	False	0.8181818181818182	5.95	0.10818181818181818	0
addɪktʊm	aʤtt	6	0.75	2	4	2	False	0.75	5.0	0.125	0
addɪtamɛntʊm	ɐʤðɐmeɪŋðʊ	11	0.9166666666666666	2	6	4	True	0.9166666666666666	5.95	0.09916666666666667	0
addɪtɪonɛm	aʤzjo	8	0.8	2	5	3	True	0.8	6.75	0.135	0
addɛrɛ	ɐʤɹ	6	1.0	0	3	3	True	1.0	4.2	0.14	0
addɔrmirɛ	aðoɾmiɾ	6	0.6666666666666666	3	4	2	True	0.6666666666666666	3.65	0.0811111111111111	0
addɔrmiskɛrɛ	ɐðuɾəmɨzeɹ	11	0.9166666666666666	1	6	5	True	0.9166666666666666	5.75	0.09583333333333334	0
adirɛ	aʤre	3	0.6	2	1	2	True	0.6	1.95	0.078	0
adɛspɔtɔn	adespoto	4	0.4444444444444444	5	1	3	True	0.4444444444444444	1.2	0.026666666666666665	0
adɪakerɛ	aððjatʃʃo	7	0.7777777777777778	2	3	3	True	0.875	4.85	0.12125	0
adɪantʊm	ɐʤɐŋdʊ	7	0.875	1	4	3	True	0.875	3.9	0.0975	0
adɪpɛm	aʤβɨ	5	0.8333333333333334	1	3	2	True	0.8333333333333334	3.65	0.12166666666666666	0
adɪtʊm	aʤdʊ	4	0.6666666666666666	3	2	1	True	0.6666666666666666	3.0	0.1	0
adɪudɪkatɪonɛm	adʒyʤɣasjo	10	0.7142857142857143	4	5	5	True	0.7142857142857143	7.9	0.11285714285714286	0
adɪudɪkarɛ	adʒʒuʤɣare	6	0.6	5	2	3	True	0.6	4.45	0.08900000000000001	0
adɪʊŋktɪonɛm	adʒoɣzjo	9	0.75	3	5	4	True	0.75	7.2	0.12000000000000001	0
adɪʊŋktʊm	aðxunto	7	0.7777777777777778	2	4	3	True	0.7777777777777778	4.35	0.09666666666666666	0
adɪʊŋɡɛrɛ	aðʒweðʁ	8	0.8888888888888888	1	4	4	True	0.8888888888888888	5.2	0.11555555555555556	0
adɪuratɪonɛm	adʒyʁazjo	8	0.6666666666666666	4	4	4	True	0.6666666666666666	6.4	0.10666666666666667	0
adɪuratorɛm	ɐðʒuɾɐðoɹ	9	0.8181818181818182	2	5	4	True	0.8181818181818182	5.4	0.09818181818181819	0
adɪurarɛ	adʒyʁe	6	0.75	2	2	4	True	0.75	3.8	0.095	0
adɪutorɪʊm	aʒutor	5	0.5	5	2	3	True	0.5	4.5	0.09	0
adɪʊwarɛ	adjuvare	4	0.5	4	1	3	True	0.5	1.8499999999999999	0.04625	0
admɪnɪkʊlʊm	ɐðminigulʊ	7	0.6363636363636364	4	3	4	True	0.6363636363636364	2.1	0.038181818181818185	0
admɪnɪstrarɛ	aðminizðɾaɾ	8	0.6666666666666666	4	5	3	True	0.6666666666666666	3.35	0.05583333333333333	0
admirabɪlɛm	ammirabile	4	0.36363636363636365	7	2	2	False	0.36363636363636365	1.7	0.030909090909090907	0
admirabɪlɪtatɛm	ɐdmiɾɐβilidadɨ	10	0.6666666666666666	5	5	5	True	0.6666666666666666	4.05	0.054	0
admiratorɛm	ɐðmiɾɐðoɹ	8	0.7272727272727273	3	5	3	True	0.7272727272727273	4.4	0.08	0
admɪssorɛm	ɐðmizoɹ	8	0.8	2	5	3	True	0.8	3.95	0.079	0
admɔnerɛ	ammonire	4	0.5	4	1	3	False	0.5	0.7	0.017499999999999998	0
admɔnɪtɪonɛm	admonizjo	7	0.5833333333333334	5	3	4	True	0.5833333333333334	4.5	0.075	0
adnodarɛ	anodare	2	0.25	6	1	1	True	0.25	1.2	0.03	0
adnʊɛrɛ	ɐnuiɹ	6	0.8571428571428571	1	2	4	True	0.8571428571428571	3.05	0.08714285714285713	0
adɔlerɛ	adja	5	0.7142857142857143	2	2	3	True	0.7142857142857143	3.9	0.11142857142857143	0
adɔleskɛrɛ	ɐðulɨzeɹ	9	0.9	1	4	5	True	0.9	3.55	0.071	0
adoratɪonɛm	adoʁazjo	6	0.5454545454545454	5	4	2	True	0.5454545454545454	5.0	0.09090909090909091	0
adornarɛ	aðoɾnaɾ	4	0.5	4	3	1	True	0.5	2.65	0.06625	0
adorarɛ	adoɾa	3	0.42857142857142855	4	2	1	True	0.42857142857142855	2.6	0.07428571428571429	0
adulatɪonɛm	ɐðulɐzɐʊ	9	0.8181818181818182	2	4	5	True	0.8181818181818182	4.75	0.08636363636363636	0
adulatorɛm	ɐðulɐðoɹ	7	0.7	3	4	3	True	0.7	3.4	0.068	0
adʊleskɛntɪam	adoleʃendza	7	0.5384615384615384	6	4	3	False	0.5384615384615384	3.9	0.06	0
adulari	adyle	4	0.5714285714285714	3	1	3	True	0.5714285714285714	2.4	0.06857142857142857	0
adʊltɛrʊm	avudʁ	8	0.8888888888888888	1	5	3	True	0.8888888888888888	5.65	0.12555555555555556	0
adʊltɛrinʊm	adulderino	5	0.45454545454545453	6	2	3	True	0.45454545454545453	2.05	0.03727272727272727	0
adʊltɛrarɛ	ɐðuwðɨɾaɹ	9	0.9	1	5	4	True	0.9	4.5	0.09	0
