final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
ɐblɨɡaɹ	-	-	-	-	ɐblɨɡaɹ	ableɡarɛ
ɐblɨbsiɐ	-	-	-	-	ɐblɨpsiɐ	ablɛpsɪam
ɐbluiɹ	-	ablye	-	-	ɐbluiɹ	ablʊɛrɛ
ɐbludʊ	-	-	-	-	ɐblutʊ	ablutorɛm
ɐβnɨɡaɹ	-	abneɡe	abneɡare	abneɣaɾ	ɐbnɨɡaɹ	abnɛɡarɛ
abnorm	abnorm	-	abnɔrme	-	-	abnormɛm
abnwiɾ	-	-	-	abnwiɾ	ɐbnuiɹ	abnʊɛrɛ
abolitsione	-	abolisjɔ̃	abolitsione	aβoliθjon	ɐbulisɐ̃ʊ̃	abɔlɪtɪonɛm
aβomaso	-	-	abɔmazo	aβomaso	ɐbumazʊ	abɔmasʊm
abominatsione	-	abominasjɔ̃	abominatsione	aβominaθjon	ɐbuminɐsɐ̃ʊ̃	abomɪnatɪonɛm
abomine	-	abomine	-	-	-	abomɪnarɛ
abominare	-	abomine	abominare	aβominaɾ	ɐbuminaɹ	abomɪnari
abradere	-	-	abradere	-	-	abradɛrɛ
ɐβɹɨnuŋziɐzɐʊ	-	-	-	-	ɐbɹɨnũŋsiɐsɐ̃ʊ̃	abrɛnʊntɪatɪonɛm
aβʁuɡɐzɐʊ	-	-	-	aβɾoɣaθjon	abʁuɡɐsɐ̃ʊ̃	abrɔɡatɪonɛm
abroɡa	abroɡa	abʁoʒe	abroɡare	aβɾoɣaɾ	abʁuɡaɹ	abrɔɡarɛ
ɐβɹoðɐnʊ	-	oʁɔn	abrotano	aβɾotano	ɐbɹɔtɐnʊ	abrɔtɔnʊm
abʁobʁ	-	abʁɔ̃pʁ	-	-	-	abrʊmpɛrɛ
ɐbɹubsɐʊ	-	-	-	-	ɐbɹupsɐ̃ʊ̃	abrʊptɪonɛm
absis	-	absis	-	aβsθisa	-	abskɪndɛrɛ
ɐbsisɐ	-	-	-	-	ɐbsisɐ	abskɪssam
askunde	askunde	abskɔ̃dʁ	askondere	eskondeɾ	ʃkuŋdeɹ	abskɔndɛrɛ
askuns	askuns	abskɔ̃	askozo	eskuso	-	abskɔnsʊm
aʊsentaɾ	-	-	-	aʊsentaɾ	-	absɛntarɛ
assolutsione	-	absolysjɔ̃	assolutsione	aβsoluθjon	ɐbsulusɐ̃ʊ̃	absɔlutɪonɛm
absolvi	absolvʲi	absudʁ	assolvere	aβsolβeɾ	ɐbsulveɹ	absɔlwɛrɛ
aβzoʁβzjo	-	absɔʁpsjɔ̃	-	aβsoɾθjon	ɐbsuɾəsɐ̃ʊ̃	absɔrptɪonɛm
ɐβstemjʊ	-	-	astemio	aβstemjo	ɐbstɛmjʊ	abstemɪʊm
asterðʒere	-	abstɛʁʒe	astɛrdʒere	aβsteɾxeɾ	ɐbstɨɾəʒeɹ	abstɛrɡerɛ
atsine	abtsine	abstniʁ	astenere	aβsteneɾ	ɐbsteɹ	abstɪnerɛ
abstradʒe	abstradʒe	abstʁɛʁ	astrarre	aβstɾaeɾ	ɐbstɹɐiɹ	abstrahɛrɛ
ɐbstɹuiɹ	-	-	-	-	ɐbstɹuiɹ	abstrudɛrɛ
ɐβzðɹuzɐʊ	-	-	-	-	ɐbstɹuzɐ̃ʊ̃	abstrusɪonɛm
abstʁy	-	abstʁy	astruzo	-	-	abstrusʊm
assurʤda	absurditate	absyʁdite	assurdita	aβsuɾðiðad	ɐbsuɾədidadɨ	absʊrdɪtatɛm
aβundanʤzimo	-	-	-	aβundantisimo	-	abʊndantɪssɪmʊm
ɐbuzɐʊ	-	-	-	-	ɐbuzɐ̃ʊ̃	abusɪonɛm
abyzif	abuziv	abyzif	-	aβusiβo	ɐbuzivʊ	abusiwʊm
abuza	abuza	abyze	abuzare	-	ɐbuzaɹ	abuti
abizzo	-	abim	abisso	aβismo	ɐbiʒmʊ	abyssʊm
aɣɣademia	-	akademi	akkadɛmia	akaðemja	ɐkɐdɨmiɐ	akademiam
akandə	akantə	akɑ̃t	akanto	akanto	ɐkɐ̃ŋtʊ	akantʰʊm
ɐɣɐðɐlɨbsiɐ	-	-	-	-	ɐkɐtɐlɨpsiɐ	akatalepsɪam
akalðaɾ	-	-	-	akalðaɾ	-	akkapɪtarɛ
adʃʃedere	-	aksede	atʃʃedere	akθeðeɾ	ɐsɨdeɹ	akkedɛrɛ
ɐzɨleɾɐðoɾjʊ	-	-	-	-	ɐsɨleɾɐtɔɾjʊ	akkɛlɛratorɪʊm
ɐzeɪŋdeɹ	-	-	atʃʃɛndere	-	ɐseɪŋdeɹ	akkɛndɛrɛ
attʃent	aktʃent	aksɑ̃	atʃʃɛnto	aθɛnto	ɐseɪŋtʊ	akkɛntʊm
atʃʃetsione	-	aksɛpsjɔ̃	atʃʃetsione	aθepθjon	ɐsɨpsɐ̃ʊ̃	akkɛptɪonɛm
ɐzɨzɐʊ	-	aksɛsjɔ̃	atʃʃession	akθesjon	ɐsɨsɐ̃ʊ̃	akkɛssɪonɛm
ɐzɨzoɾjʊ	-	aksɛswaʁ	atʃʃessɔrio	-	ɐsɨsɔɾjʊ	akkɛssorɪʊm
akθeso	-	-	-	akθeso	ɐsɛsʊ	akkɛssʊm
ɐzideɪŋdɨ	-	-	-	-	ɐsideɪŋtɨ	akkɪdɛntɛm
ɐzideɪŋzjɐ	-	-	-	-	ɐsideɪŋsjɐ	akkɪdɛntɪam
aɣzede	-	aksɛpte	atʃʃettare	aθepptaɾ	ɐseɪtaɹ	akkɪpɛrɛ
astore	-	otuʁ	astore	aθoɾ	ɐsoɹ	astʊrɛm
aklaɾaɾ	-	-	-	aklaɾaɾ	ɐklɐɾaɹ	akklararɛ
aɣɣline	-	-	akkline	-	-	akklinɛm
ɐklividadɨ	-	-	-	-	ɐklividadɨ	akkliwɪtatɛm
aɣɣomodadzione	-	akɔmodasjɔ̃	akkomodatsione	akomoðaθjon	ɐkumudɐsɐ̃ʊ̃	akkɔmmɔdatɪonɛm
ɐɣuŋzɨʎaɹ	-	-	-	akonsexaɾ	ɐkuŋsɨʎaɹ	akkɔŋkɪlɪarɛ
akɾeθeɾ	-	-	akkreʃere	akɾeθeɾ	ɐkɹɨseɹ	akkreskɛrɛ
akretsje	akretsje	akʁesjɔ̃	akkretsione	akɾeθjon	ɐkɹɨsɐ̃ʊ̃	akkretɪonɛm
ɐɣubitʊ	-	-	-	-	ɐkubitʊ	akkʊbɪtʊm
aɣymylasjo	-	akymylasjɔ̃	akkumulatsione	akumulaθjon	ɐkumulɐsɐ̃ʊ̃	akkʊmʊlatɪonɛm
akuɾaɾ	-	-	-	akuɾaɾ	-	akkurarɛ
akuʁiʁ	-	akuʁiʁ	akkɔrrere	akoreɾ	ɐkuʁeɹ	akkʊrrɛrɛ
aɣɣuzabile	-	akyzabl	akkuzabile	-	ɐkuzavɛl	akkusabɪlɛm
ɐɣuzɐŋðɨ	-	-	-	-	ɐkuzɐ̃ŋtɨ	akkusantɛm
aɣɣuzatzione	akuzatsje	akyzasjɔ̃	akkuzatsione	akusaθjon	ɐkuzɐsɐ̃ʊ̃	akkusatɪonɛm
akuzətor	akuzətor	akyzatœʁ	akkuzatore	akusaðoɾ	ɐkuzɐdoɹ	akkusatorɛm
aɣɣuzatorio	-	akyzatwaʁ	akkuzatɔrio	akusatoɾjo	ɐkuzɐtɔɾjʊ	akkusatorɪʊm
aɣɣuzatritʃe	-	-	akkuzatritʃe	-	-	akkusatrikɛm
akuza	akuza	akyze	akkuzare	akusaɾ	ɐkuzaɹ	akkusarɛ
adʃʃiʤa	-	-	atʃʃidia	-	ɐsɛdjɐ	akedɪam
ɐzefɐlʊ	-	-	-	aθefalo	ɐsɛfɐlʊ	akɛpʰalʊm
artsar	artsar	eʁabl	atʃero	aθeɾe	asɨɹ	akrɛm
atʃerbita	-	-	atʃerbita	aθeɾβiðad	ɐsɨɾəbidadɨ	akɛrbɪtatɛm
aseʁβ	atʃerb	asɛʁb	atʃɛrbo	aθeɾβo	ɐsɛɾəbʊ	akɛrbʊm
ðʃernia	-	-	tʃɛrnia	-	-	akɛrnɪam
ɐzɨɾəvɐzɐʊ	-	-	-	-	ɐsɨɾəvɐsɐ̃ʊ̃	akɛrwatɪonɛm
aθeɾβaɾ	-	-	-	aθeɾβaɾ	-	akɛrwarɛ
ɐzeɾəvʊ	-	-	-	aθeɾβo	ɐseɾəvʊ	akɛrwʊm
atʃetabul	atʃetabul	asetabyl	atʃetabolo	-	ɐsɨtabulʊ	aketabʊlʊm
atʃeto	otset	-	atʃeto	aθeðo	ɐzedʊ	aketʊm
aɡata	-	aɡat	aɡata	aɣata	aɡɐtɐ	akʰaten
atsə	atsə	-	atʃʃa	-	-	akɪam
ɐziɣulɐ	-	-	-	-	ɐsikulɐ	akɪkʊlam
adʃiʤda	-	-	atʃidita	-	ɐsididadɨ	akɪdɪtatɛm
atʃʃaio	-	asje	atʃʃaio	aθ	aʃ	akɪɛm
asinʊ	-	-	atʃino	-	asinʊ	akɪnʊm
akonito	-	-	akonito	-	ɐkonitʊ	akɔnitʊm
ɐkiɨzeɹ	-	akjɛse	-	-	ɐkiɨseɹ	akkwɪeskɛrɛ
aɣɣwizire	-	akeʁiʁ	akkwizire	adkiɾiɾ	ɐdkiɾiɹ	akkwirɛrɛ
akizitsje	akizitsje	akizisjɔ̃	akkwizitsione	adkisiθjon	ɐkizisɐ̃ʊ̃	akkwɪsitɪonɛm
aɣrimonia	-	akʁimoni	akrimɔnia	akɾimonja	ɐkɹimonjɐ	akrɪmonɪam
ɐɣɹidadɨ	-	akʁəte	-	-	ɐkɹidadɨ	akrɪtatɛm
ɐɣɹidudɨ	-	-	-	akɾitud	ɐkɹitudɨ	akrɪtudɪnɛm
ɐɣɹuɐmɐ	-	-	-	-	ɐkɹuɐ̃mɐ	akrɔama
atɐ	-	-	-	akta	atɐ	akta
ɐdeɪɐ	-	-	-	-	ɐteɪɐ	aktaɪam
attivo	-	aktif	attivo	aktiβo	ɐtivʊ	aktiwʊm
aɣðœʁ	aktor	aktœʁ	attore	aktoɾ	ɐtoɹ	aktorɛm
attʁis	-	aktʁis	attritʃe	aktɾiθ	ɐtɹiʃ	aktrikɛm
attyel	-	aktyɛl	attuale	-	ɐtuɑl	aktʊalɛm
addwaɾjo	-	aktyɛʁ	attuario	aktwaɾjo	-	aktʊarɪʊm
ɐtuaɹ	-	-	attuare	aktwaɾ	ɐtuaɹ	aktʊarɛ
akt	akt	akt	atto	akto	atʊ	aktʊm
akar	akar	-	-	-	-	akʊarɪʊm
eɡlɑðje	akulew	eɡlɑ̃tje	akuleo	akuleo	ɐkuliʊ	akʊlɛʊm
aɣe	-	-	akume	akumen	-	akumɛn
aɣinare	-	-	akuminare	-	ɐkuminaɹ	akumɪnarɛ
aɡo	ak	-	aɡo	-	-	akʊm
aðekwaθjon	-	-	-	aðekwaθjon	-	adaɪkwatɪonɛm
aðekwaɾ	-	-	-	aðekwaɾ	-	adaɪkwarɛ
adamande	djamant	ɛmɑ̃	adamante	aðamante	ɐdɐmɐ̃ŋtɨ	adamantɛm
aðamaɾ	-	-	-	aðamaɾ	-	adamarɛ
adəwɡa	adəwɡa	-	-	-	-	adaʊɡerɛ
addedʃimare	-	-	addetʃimare	-	-	addɛkɪmarɛ
adʤre	-	-	addire	aðikaɾ	-	addikɛrɛ
ɐʤzɐʊ	adiktsie	adiksjɔ̃	-	aðikθjon	ɐdisɐ̃ʊ̃	addɪktɪonɛm
aʤtt	-	adikt	addetto	aðikto	ɐditʊ	addɪktʊm
ɐʤðɐmeɪŋðʊ	-	-	-	aðitamɛnto	ɐditɐmeɪŋtʊ	addɪtamɛntʊm
aðʤðzione	-	adisjɔ̃	additsione	aðiθjon	ɐdisɐ̃ʊ̃	addɪtɪonɛm
ɐʤɹ	-	-	-	aðiɾ	ɐdiɹ	addɛrɛ
adormi	adormʲi	-	addormire	aðoɾmiɾ	ɐduɾəmiɹ	addɔrmirɛ
aðoɾmeθeɾ	-	-	-	aðoɾmeθeɾ	ɐduɾəmɨseɹ	addɔrmiskɛrɛ
aʤre	-	-	adire	aðiɾ	-	adirɛ
adespoto	-	-	adespoto	-	-	adɛspɔtɔn
aððjaðʃʃo	-	-	addjatʃʃo	-	-	adɪakerɛ
ɐʤɐŋtʊ	-	-	-	-	ɐdiɐ̃ŋtʊ	adɪantʊm
aʤβɨ	-	-	adipe	-	adipɨ	adɪpɛm
aʤdʊ	-	-	adito	-	aditʊ	adɪtʊm
adʒʒuʤɣadzione	-	adʒydikasjɔ̃	adʒʒudikatsione	aðxuðikaθjon	ɐdʒudikɐsɐ̃ʊ̃	adɪudɪkatɪonɛm
ɐðʒuʤɣaɹ	adʒudeka	adʒyʒe	adʒʒudikare	aðxuðikaɾ	ɐdʒudikaɹ	adɪudɪkarɛ
ɐðʒuŋzɐʊ	-	adʒɔ̃ksjɔ̃	adʒʒuntsione	-	ɐdʒũŋsɐ̃ʊ̃	adɪʊŋktɪonɛm
aðxunto	-	-	adʒʒunto	aðxunto	ɐdʒũŋtʊ	adɪʊŋktʊm
aðʒʒunðʒere	aʒuŋdʒe	adʒwɛ̃dʁ	adʒʒundʒere	-	ɐdʒũŋʒiɹ	adɪʊŋɡɛrɛ
ɐðʒuɾɐzɐʊ	-	adʒyʁasjɔ̃	-	-	ɐdʒuɾɐsɐ̃ʊ̃	adɪuratɪonɛm
ɐðʒuɾɐðoɹ	-	-	-	-	ɐdʒuɾɐdoɹ	adɪuratorɛm
adʒyʁe	-	adʒyʁe	-	-	-	adɪurarɛ
aʒutor	aʒutor	-	-	-	-	adɪutorɪʊm
adjuvare	-	-	adjuvare	-	-	adɪʊwarɛ
adminikulo	-	-	-	adminikulo	ɐdminikulʊ	admɪnɪkʊlʊm
aðminizðʁe	-	administʁe	amministrare	administɾaɾ	ɐdminiʃtɹaɹ	admɪnɪstrarɛ
admiɾabil	admiɾabil	admiʁabl	ammirabile	admiɾaβle	-	admirabɪlɛm
ɐdmiɾɐβilidadɨ	-	-	-	-	ɐdmiɾɐbilidadɨ	admirabɪlɪtatɛm
ɐðmiɾɐðoɹ	-	-	-	-	ɐdmiɾɐdoɹ	admiratorɛm
ɐðmizoɹ	-	-	-	-	ɐdmisoɹ	admɪssorɛm
admonesde	-	admonɛste	ammonire	amonestaɾ	ɐdmuɨʃtaɹ	admɔnerɛ
admonizjo	-	admonisjɔ̃	ammonitsione	admoniθjon	ɐdmunisɐ̃ʊ̃	admɔnɪtɪonɛm
anodare	-	-	annodare	-	-	adnodarɛ
anuire	-	-	annuire	anwiɾ	ɐnuiɹ	adnʊɛrɛ
adja	adja	-	-	-	-	adɔlerɛ
ɐðulɨzeɹ	-	-	-	-	ɐdulɨseɹ	adɔleskɛrɛ
adoradzione	-	adoʁasjɔ̃	adoratsione	aðoɾaθjon	ɐduɾɐsɐ̃ʊ̃	adoratɪonɛm
aðoɾnaɾ	-	-	-	aðoɾnaɾ	-	adornarɛ
adorare	adoɾa	adoʁe	adorare	aðoɾaɾ	ɐduɾaɹ	adorarɛ
ɐðulɐzɐʊ	-	adylasjɔ̃	-	aðulaθjon	ɐdulɐsɐ̃ʊ̃	adulatɪonɛm
aðulaðore	-	adylatœʁ	adulatore	aðulaðoɾ	ɐdulɐdoɹ	adulatorɛm
adolesɑs	-	adolɛsɑ̃s	adoleʃɛntsa	aðolesθɛnθja	ɐdulɨseɪŋsjɐ	adʊleskɛntɪam
adyle	-	adyle	adulare	aðulaɾ	ɐdulaɹ	adulari
avudʁ	-	avutʁ	-	aðulteɾo	ɐdultɨɾʊ	adʊltɛrʊm
aðulteɾino	-	-	adulterino	aðulteɾino	-	adʊltɛrinʊm
adyldeʁe	-	adylteʁe	adulterare	aðulteɾaɾ	ɐduwtɨɾaɹ	adʊltɛrarɛ
aðbri	adumbri	-	adombrare	-	-	adʊmbrarɛ
ɐðunɐzɐʊ	-	-	-	-	ɐdunɐsɐ̃ʊ̃	adunatɪonɛm
adunɣo	adɨnk	-	adunko	aðunko	ɐdũŋkʊ	adʊŋkʊm
aduna	aduna	-	adunare	aʊnaɾ	-	adunarɛ
aðuɾiɾ	-	-	-	aðuɾiɾ	-	adurɛrɛ
ɐðvesɐʊ	-	-	-	aðβekθjon	ɐdvɛsɐ̃ʊ̃	adwɛktɪonɛm
advɨnɐ	-	-	-	-	advɨnɐ	adwɛnam
avniʁ	-	avniʁ	avvenire	aβeniɾ	ɐviɹ	adwɛnirɛ
adveʁβjal	-	advɛʁbjal	avverbjale	aðβeɾβjal	ɐdvɨɾəbiɑl	adwɛrbɪalɛm
ɐðvɨɾəzɐʊ	-	-	-	-	ɐdvɨɾəsɐ̃ʊ̃	adwɛrsɪonɛm
aðβeɾzaɾ	-	-	-	aðβeɾsaɾ	-	adwɛrsari
ɐðvɨɾəðeɪŋzjɐ	-	-	-	-	ɐdvɨɾəteɪŋsjɐ	adwɛrtɛntɪam
aveʁʤʁ	-	avɛʁtiʁ	avvertire	aðβeɾtiɾ	ɐdvɨɾətiɹ	adwɛrtɛrɛ
aðβokaθjon	-	-	-	aðβokaθjon	ɐdvukɐsɐ̃ʊ̃	adwɔkatɪonɛm
avwe	-	avwe	-	aβoɣaɾ	-	adwɔkarɛ
avvolðʒere	-	-	avvoldʒere	-	-	adwɔlwɛrɛ
aʤtʊ	-	-	-	-	aditʊ	adytʊm
eʤɣulɐ	-	-	edikola	-	edikulɐ	aɪdɪkʊlam
eʤfiɣɐzɐʊ	-	-	-	eðifikaθjon	edifikɐsɐ̃ʊ̃	aɪdɪfɪkatɪonɛm
eʤfiɣaɹ	-	edifje	edifikare	eðifikaɾ	edifikaɹ	aɪdɪfɪkarɛ
ɨʤl	-	edil	-	eðil	ɨdil	aɪdilɛm
eðiliðad	-	-	-	eðiliðad	edilidadɨ	aɪdilɪtatɛm
eɡro	-	-	eɡro	-	ɛɡɹʊ	aɪɡrʊm
aθjaɣo	-	-	edʒitsiako	aθjaɣo	ɐziaɡʊ	aɪɡyptɪakʊm
eðʒitsio	-	-	edʒitsio	-	-	aɪɡyptɪʊm
emulatore	-	-	emulatore	-	emulɐdoɹ	aɪmʊlatorɛm
emulatritʃe	-	-	emulatritʃe	-	-	aɪmʊlatrikɛm
emyl	-	emyl	ɛmulo	emulo	ɛmulʊ	aɪmʊlʊm
ɛniʊ	-	-	-	eneo	ɛniʊ	aenɛʊm
ekwɐβilidadɨ	-	-	-	-	ekwɐbilidadɨ	aɪkwabɪlɪtatɛm
iɣwalðad	-	eɡalite	-	iɣwalðad	iɡwɑldadɨ	aɪkwalɪtatɛm
ekwanime	-	-	ekwanime	-	-	aɪkwanɪmɛm
ekwanimide	-	ekwanimite	ekwanimita	ekwanimiðad	ekwɐnimidadɨ	aɪkwanɪmɪtatɛm
ekwatoʁjal	-	ekwatoʁjal	-	-	-	aɪkwatɔrɪalɛm
ekilibʁ	-	ekilibʁ	ekwilibrio	ekiliβɾio	ekilibrjʊ	aɪkwɪlibrɪʊm
eɣibaɾaɾ	-	-	-	ekipaɾaɾ	-	aɪkwɪpararɛ
ekibɐɾaɹ	-	-	ekwipaɾare	ekipaɾaɾ	ekipɐɾaɹ	aɪkwɪpɛrarɛ
ekwizono	-	-	ekwizono	-	-	aɪkwɪsɔnʊm
ekivɐleɪŋzjɐ	-	-	-	-	ekivɐleɪŋsjɐ	aɪkwɪwalɛntɪam
eɣwivalere	-	ekivalwaʁ	ekwivalɛre	ekiβaleɾ	-	aɪkwɪwalerɛ
eɣivuɣɐzɐʊ	-	-	-	-	ekivukɐsɐ̃ʊ̃	aɪkwɪwɔkatɪonɛm
eɣwivoɣare	-	-	ekwivokare	ekiβokaɾ	-	aɪkwɪwɔkarɛ
eɣwoɾiʊ	-	-	-	-	ekwɔɾiʊ	aɪkwɔrɛʊm
eɣwo	-	-	ɛkwo	-	ɛkwʊ	aɪkwʊm
eɾə	eɾə	ɛʁ	ɛra	eɾa	ɛɾɐ	aɪram
erario	-	-	erario	-	eɾaɾjʊ	aɪrarɪʊm
ɛɾiʊ	-	-	-	-	ɛɾiʊ	aɪrɛʊm
eɾeo	-	-	-	aeɾeo	ɐɛɾiʊ	aɛrɪʊm
eʁomɑzi	-	aeʁomɑ̃si	aeromantsia	aeɾomanθia	ɐɨɾumɐ̃ŋsiɐ	aɛrɔmantiam
erozo	-	-	erozo	-	-	aɪrosʊm
rudʒʒinozo	rudʒinos	eʁyʒinø	rudʒʒinozo	eɾuxinoso	ɐɨɾuʒinozʊ	aɪruɡɪnosʊm
rudʒinə	rudʒinə	-	rudʒʒine	eɾuxine	ɐɨɾuʒitɐ	aɪruɡɪnɛm
eskio	-	-	eskio	-	ɛʃkulʊ	aɪskʊlʊm
estate	-	ete	estate	estio	ɨʃtiʊ	aɪstatɛm
